File,Width (m),Thickness (m),Confinement Factor (1D)
E_field_data_1.2e-006 7.5e-007.mat,1.2e-06,7.5e-07,0.6848663809208932
E_field_data_1.25e-006 8.5e-007.mat,1.25e-06,8.5e-07,0.6868775112592996
E_field_data_1e-006 4e-007.mat,1e-06,4e-07,0.7102230214051246
E_field_data_1e-006 5e-007.mat,1e-06,5e-07,0.6890736383044307
E_field_data_1.2e-006 5e-007.mat,1.2e-06,5e-07,0.6911381107555892
E_field_data_1.2e-006 4e-007.mat,1.2e-06,4e-07,0.6822784136241387
E_field_data_1.35e-006 8e-007.mat,1.35e-06,8e-07,0.6919585839016323
E_field_data_1.35e-006 9e-007.mat,1.35e-06,9e-07,0.6968120573755042
E_field_data_1.25e-006 4e-007.mat,1.25e-06,4e-07,0.6826729019031719
E_field_data_1.25e-006 5e-007.mat,1.25e-06,5e-07,0.6913106873063747
E_field_data_1.4e-006 8.5e-007.mat,1.4e-06,8.5e-07,0.6873637666152571
E_field_data_1.1e-006 5.5e-007.mat,1.1e-06,5.5e-07,0.6943247979353486
E_field_data_1.15e-006 8.5e-007.mat,1.15e-06,8.5e-07,0.6865393095904032
E_field_data_1.15e-006 1e-006.mat,1.15e-06,1e-06,0.6959687477405698
E_field_data_1.3e-006 7.5e-007.mat,1.3e-06,7.5e-07,0.6851283677677399
E_field_data_1.1e-006 8.5e-007.mat,1.1e-06,8.5e-07,0.686382814196129
E_field_data_1.4e-006 5.5e-007.mat,1.4e-06,5.5e-07,0.695970263040784
E_field_data_1.4e-006 9e-007.mat,1.4e-06,9e-07,0.6970261653460923
E_field_data_1.4e-006 8e-007.mat,1.4e-06,8e-07,0.6920743184959992
E_field_data_1.15e-006 5.5e-007.mat,1.15e-06,5.5e-07,0.6947069262104442
E_field_data_1.05e-006 6.5e-007.mat,1.05e-06,6.5e-07,0.6951986463970183
E_field_data_1.1e-006 8e-007.mat,1.1e-06,8e-07,0.6912650384256175
E_field_data_1.1e-006 9e-007.mat,1.1e-06,9e-07,0.6959466583940958
E_field_data_1.3e-006 4.5e-007.mat,1.3e-06,4.5e-07,0.6764187783991404
E_field_data_1.2e-006 1e-006.mat,1.2e-06,1e-06,0.6961956486856747
E_field_data_1.05e-006 8.5e-007.mat,1.05e-06,8.5e-07,0.6861323812148258
E_field_data_1.05e-006 9e-007.mat,1.05e-06,9e-07,0.6955664261985613
E_field_data_1.05e-006 8e-007.mat,1.05e-06,8e-07,0.6909030965534678
E_field_data_1.1e-006 6.5e-007.mat,1.1e-06,6.5e-07,0.6956041244339556
E_field_data_1e-006 1e-006.mat,1e-06,1e-06,0.695526938855808
E_field_data_1.3e-006 6e-007.mat,1.3e-06,6e-07,0.6933263487008482
E_field_data_1.3e-006 7e-007.mat,1.3e-06,7e-07,0.6944963958475449
E_field_data_1.05e-006 5.5e-007.mat,1.05e-06,5.5e-07,0.6938205164915334
E_field_data_1.15e-006 6.5e-007.mat,1.15e-06,6.5e-07,0.6959198587535366
E_field_data_1.3e-006 9.5e-007.mat,1.3e-06,9.5e-07,0.6989082057192332
E_field_data_1.4e-006 6.5e-007.mat,1.4e-06,6.5e-07,0.6969969770898115
E_field_data_1.35e-006 6e-007.mat,1.35e-06,6e-07,0.6933978472810312
E_field_data_1.35e-006 7e-007.mat,1.35e-06,7e-07,0.6945479656476099
E_field_data_1.2e-006 4.5e-007.mat,1.2e-06,4.5e-07,0.675840412570709
E_field_data_1e-006 4.5e-007.mat,1e-06,4.5e-07,0.6738894199342996
E_field_data_1.35e-006 5.5e-007.mat,1.35e-06,5.5e-07,0.6957723300465846
E_field_data_1.25e-006 6.5e-007.mat,1.25e-06,6.5e-07,0.6964413613305269
E_field_data_1.15e-006 5e-007.mat,1.15e-06,5e-07,0.6906160535629399
E_field_data_1.15e-006 4e-007.mat,1.15e-06,4e-07,0.6818195894192499
E_field_data_1e-006 9.5e-007.mat,1e-06,9.5e-07,0.6977681093704937
E_field_data_1.4e-006 7e-007.mat,1.4e-06,7e-07,0.6947802247777143
E_field_data_1.4e-006 6e-007.mat,1.4e-06,6e-07,0.6936748209176758
E_field_data_1.2e-006 9.5e-007.mat,1.2e-06,9.5e-07,0.6986171809054584
E_field_data_1.35e-006 8.5e-007.mat,1.35e-06,8.5e-07,0.6872157491591554
E_field_data_1.25e-006 1e-006.mat,1.25e-06,1e-06,0.6962421230637673
E_field_data_1.1e-006 4.5e-007.mat,1.1e-06,4.5e-07,0.675044705592734
E_field_data_1.4e-006 9.5e-007.mat,1.4e-06,9.5e-07,0.6991094316466222
E_field_data_1.15e-006 8e-007.mat,1.15e-06,8e-07,0.6914528577363919
E_field_data_1.15e-006 9e-007.mat,1.15e-06,9e-07,0.6960663031102369
E_field_data_1.15e-006 9.5e-007.mat,1.15e-06,9.5e-07,0.6984422479099638
E_field_data_1.3e-006 6.5e-007.mat,1.3e-06,6.5e-07,0.696670110621794
E_field_data_1.25e-006 7e-007.mat,1.25e-06,7e-07,0.6941956491264205
E_field_data_1.25e-006 6e-007.mat,1.25e-06,6e-07,0.6929746587842285
E_field_data_1.4e-006 4.5e-007.mat,1.4e-06,4.5e-07,0.6768462494414381
E_field_data_1.1e-006 9.5e-007.mat,1.1e-06,9.5e-07,0.6982864234350395
E_field_data_1.05e-006 7.5e-007.mat,1.05e-06,7.5e-07,0.6839551034440742
E_field_data_1.15e-006 4.5e-007.mat,1.15e-06,4.5e-07,0.675477493011336
E_field_data_1.4e-006 1e-006.mat,1.4e-06,1e-06,0.6965952067903083
E_field_data_1.3e-006 1e-006.mat,1.3e-06,1e-06,0.6964390808071459
E_field_data_1.35e-006 7.5e-007.mat,1.35e-06,7.5e-07,0.6852274236334607
E_field_data_1.25e-006 4.5e-007.mat,1.25e-06,4.5e-07,0.6761490427833555
E_field_data_1e-006 7e-007.mat,1e-06,7e-07,0.6925929622343171
E_field_data_1e-006 6e-007.mat,1e-06,6e-07,0.6911247746063981
E_field_data_1.2e-006 6e-007.mat,1.2e-06,6e-07,0.6928397706098289
E_field_data_1.2e-006 7e-007.mat,1.2e-06,7e-07,0.6940795758726235
E_field_data_1.2e-006 6.5e-007.mat,1.2e-06,6.5e-07,0.6962173421057829
E_field_data_1e-006 6.5e-007.mat,1e-06,6.5e-07,0.6947204912006718
E_field_data_1.25e-006 9.5e-007.mat,1.25e-06,9.5e-07,0.698758768673795
E_field_data_1.35e-006 1e-006.mat,1.35e-06,1e-06,0.6964503063337579
E_field_data_1.1e-006 5e-007.mat,1.1e-06,5e-07,0.6903102171635758
E_field_data_1.1e-006 4e-007.mat,1.1e-06,4e-07,0.6812804320899133
E_field_data_1.05e-006 4e-007.mat,1.05e-06,4e-07,0.7095903316115887
E_field_data_1.05e-006 5e-007.mat,1.05e-06,5e-07,0.6895968862964731
