File,Width (m),Thickness (m),Confinement Factor (1D)
E_field_data_1e-006 5.5e-007.mat,1e-06,5.5e-07,0.6932375417775373
E_field_data_1.4e-006 4e-007.mat,1.4e-06,4e-07,0.6835622420797276
E_field_data_1.4e-006 5e-007.mat,1.4e-06,5e-07,0.6921543328091387
E_field_data_1.15e-006 6e-007.mat,1.15e-06,6e-07,0.6924038954593893
E_field_data_1.15e-006 7e-007.mat,1.15e-06,7e-07,0.6936765908957081
E_field_data_1.2e-006 5.5e-007.mat,1.2e-06,5.5e-07,0.6950544416076805
E_field_data_1.25e-006 7.5e-007.mat,1.25e-06,7.5e-07,0.6850069331549985
E_field_data_1.35e-006 4.5e-007.mat,1.35e-06,4.5e-07,0.6766475078632518
E_field_data_1.2e-006 8.5e-007.mat,1.2e-06,8.5e-07,0.6867001517027042
E_field_data_1.25e-006 9e-007.mat,1.25e-06,9e-07,0.6964743372010307
E_field_data_1.25e-006 8e-007.mat,1.25e-06,8e-07,0.6917027608734592
E_field_data_1e-006 8.5e-007.mat,1e-06,8.5e-07,0.6857288069252013
E_field_data_1.35e-006 9.5e-007.mat,1.35e-06,9.5e-07,0.6990075878424166
E_field_data_1.05e-006 1e-006.mat,1.05e-06,1e-06,0.6956675807912512
E_field_data_1.05e-006 9.5e-007.mat,1.05e-06,9.5e-07,0.6980776808911726
E_field_data_1e-006 9e-007.mat,1e-06,9e-07,0.695230230819158
E_field_data_1e-006 8e-007.mat,1e-06,8e-07,0.6904341520342631
E_field_data_1.3e-006 5.5e-007.mat,1.3e-06,5.5e-07,0.6955838695657625
E_field_data_1.1e-006 1e-006.mat,1.1e-06,1e-06,0.6959127142143393
E_field_data_1.2e-006 8e-007.mat,1.2e-06,8e-07,0.6915772649838177
E_field_data_1.2e-006 9e-007.mat,1.2e-06,9e-07,0.6963665012552149
E_field_data_1.1e-006 7.5e-007.mat,1.1e-06,7.5e-07,0.6843601487246506
E_field_data_1.35e-006 5e-007.mat,1.35e-06,5e-07,0.6918242269438623
E_field_data_1.35e-006 4e-007.mat,1.35e-06,4e-07,0.6833109797132131
E_field_data_1.15e-006 7.5e-007.mat,1.15e-06,7.5e-07,0.6846719587658784
E_field_data_1.3e-006 8.5e-007.mat,1.3e-06,8.5e-07,0.6870542649953008
E_field_data_1.05e-006 4.5e-007.mat,1.05e-06,4.5e-07,0.6745231319604214
E_field_data_1.4e-006 7.5e-007.mat,1.4e-06,7.5e-07,0.6853059029899412
E_field_data_1.3e-006 5e-007.mat,1.3e-06,5e-07,0.6917284064259263
E_field_data_1.3e-006 4e-007.mat,1.3e-06,4e-07,0.6830193728392532
E_field_data_1.25e-006 5.5e-007.mat,1.25e-06,5.5e-07,0.6953154866986658
E_field_data_1.1e-006 6e-007.mat,1.1e-06,6e-07,0.6921616332141417
E_field_data_1.1e-006 7e-007.mat,1.1e-06,7e-07,0.6934341500523632
E_field_data_1.35e-006 6.5e-007.mat,1.35e-06,6.5e-07,0.6968295975314958
E_field_data_1e-006 7.5e-007.mat,1e-06,7.5e-07,0.683564313643419
E_field_data_1.3e-006 8e-007.mat,1.3e-06,8e-07,0.6918361295545581
E_field_data_1.3e-006 9e-007.mat,1.3e-06,9e-07,0.6967443894813203
E_field_data_1.05e-006 7e-007.mat,1.05e-06,7e-07,0.6929217649562317
E_field_data_1.05e-006 6e-007.mat,1.05e-06,6e-07,0.6915626112671022
