File,Width (m),Thickness (m),Confinement Factor (1D)
E_field_data_1.19e-006 7.1e-007.mat,1.19e-06,7.1e-07,0.6912876231115714
E_field_data_1.19e-006 6.9e-007.mat,1.19e-06,6.9e-07,0.6884528386031004
E_field_data_1.25e-006 7.5e-007.mat,1.25e-06,7.5e-07,0.6850069331549985
E_field_data_1.17e-006 7.3e-007.mat,1.17e-06,7.3e-07,0.6940365885835087
E_field_data_1.23e-006 7.3e-007.mat,1.23e-06,7.3e-07,0.6943059431255834
E_field_data_1.15e-006 6.7e-007.mat,1.15e-06,6.7e-07,0.6914836286504188
E_field_data_1.21e-006 6.7e-007.mat,1.21e-06,6.7e-07,0.6917789049570396
E_field_data_1.15e-006 7.5e-007.mat,1.15e-06,7.5e-07,0.6846719587658784
E_field_data_1.21e-006 7.5e-007.mat,1.21e-06,7.5e-07,0.6849218126777514
E_field_data_1.15e-006 7.3e-007.mat,1.15e-06,7.3e-07,0.6939161490358177
E_field_data_1.21e-006 7.3e-007.mat,1.21e-06,7.3e-07,0.6942280514180864
E_field_data_1.17e-006 6.7e-007.mat,1.17e-06,6.7e-07,0.6915275586500599
E_field_data_1.25e-006 7.3e-007.mat,1.25e-06,7.3e-07,0.6943772844900405
E_field_data_1.17e-006 7.5e-007.mat,1.17e-06,7.5e-07,0.6848084045060936
E_field_data_1.19e-006 6.5e-007.mat,1.19e-06,6.5e-07,0.6961634428887676
E_field_data_1.23e-006 7.5e-007.mat,1.23e-06,7.5e-07,0.6849851233775207
E_field_data_1.15e-006 6.5e-007.mat,1.15e-06,6.5e-07,0.699336395873314
E_field_data_1.21e-006 6.5e-007.mat,1.21e-06,6.5e-07,0.6962644435543452
E_field_data_1.17e-006 6.9e-007.mat,1.17e-06,6.9e-07,0.6883452463334887
E_field_data_1.17e-006 7.1e-007.mat,1.17e-06,7.1e-07,0.691182939086806
E_field_data_1.23e-006 7.1e-007.mat,1.23e-06,7.1e-07,0.7052477513886285
E_field_data_1.19e-006 7.3e-007.mat,1.19e-06,7.3e-07,0.6941351255963752
E_field_data_1.19e-006 6.7e-007.mat,1.19e-06,6.7e-07,0.6915561131115433
E_field_data_1.17e-006 6.5e-007.mat,1.17e-06,6.5e-07,0.6960502909149472
E_field_data_1.19e-006 7.5e-007.mat,1.19e-06,7.5e-07,0.6940365885835087
E_field_data_1.25e-006 7.1e-007.mat,1.25e-06,7.1e-07,0.691576820897216
E_field_data_1.15e-006 6.9e-007.mat,1.15e-06,6.9e-07,0.6882208820268636
E_field_data_1.15e-006 7.1e-007.mat,1.15e-06,7.1e-07,0.691061134195801
E_field_data_1.21e-006 6.9e-007.mat,1.21e-06,6.9e-07,0.6873612969742973
E_field_data_1.21e-006 7.1e-007.mat,1.21e-06,7.1e-07,0.7061567236864843
