Wavelength,Transmission
0.692234,0.0506211
0.693235,0.0505855
0.694235,0.0505498
0.695236,0.0505141
0.696237,0.0504782
0.697238,0.0504422
0.698239,0.0504062
0.699239,0.0503701
0.70024,0.0503339
0.701241,0.0502976
0.702242,0.0502613
0.703243,0.050225
0.704243,0.0501886
0.705244,0.0501521
0.706245,0.0501157
0.707246,0.0500792
0.708247,0.0500427
0.709247,0.0500062
0.710248,0.0499697
0.711249,0.0499333
0.71225,0.0498969
0.713251,0.0498605
0.714251,0.0498243
0.715252,0.0497881
0.716253,0.049752
0.717254,0.049716
0.718255,0.0496801
0.719255,0.0496444
0.720256,0.0496088
0.721257,0.0495734
0.722258,0.0495382
0.723259,0.0495032
0.724259,0.0494684
0.72526,0.0494339
0.726261,0.0493996
0.727262,0.0493655
0.728263,0.0493318
0.729263,0.0492983
0.730264,0.0492652
0.731265,0.0492324
0.732266,0.0491999
0.733267,0.0491678
0.734267,0.0491361
0.735268,0.0491048
0.736269,0.0490739
0.73727,0.0490435
0.738271,0.0490135
0.739271,0.0489839
0.740272,0.0489549
0.741273,0.0489263
0.742274,0.0488982
0.743275,0.0488707
0.744275,0.0488437
0.745276,0.0488172
0.746277,0.0487914
0.747278,0.0487661
0.748279,0.0487414
0.749279,0.0487173
0.75028,0.0486938
0.751281,0.048671
0.752282,0.0486488
0.753283,0.0486273
0.754283,0.0486065
0.755284,0.0485863
0.756285,0.0485669
0.757286,0.0485481
0.758287,0.0485301
0.759287,0.0485129
0.760288,0.0484964
0.761289,0.0484806
0.76229,0.0484656
0.763291,0.0484515
0.764291,0.0484381
0.765292,0.0484255
0.766293,0.0484137
0.767294,0.0484028
0.768295,0.0483927
0.769295,0.0483834
0.770296,0.048375
0.771297,0.0483675
0.772298,0.0483609
0.773299,0.0483552
0.774299,0.0483504
0.7753,0.0483465
0.776301,0.0483436
0.777302,0.0483415
0.778303,0.0483405
0.779303,0.0483404
0.780304,0.0483413
0.781305,0.0483432
0.782306,0.0483461
0.783307,0.04835
0.784307,0.0483549
0.785308,0.0483609
0.786309,0.0483679
0.78731,0.048376
0.788311,0.0483852
0.789311,0.0483955
0.790312,0.0484068
0.791313,0.0484194
0.792314,0.048433
0.793315,0.0484478
0.794315,0.0484638
0.795316,0.048481
0.796317,0.0484994
0.797318,0.048519
0.798319,0.0485398
0.799319,0.0485619
0.80032,0.0485852
0.801321,0.0486099
0.802322,0.0486358
0.803323,0.0486631
0.804323,0.0486917
0.805324,0.0487217
0.806325,0.0487531
0.807326,0.0487858
0.808327,0.04882
0.809327,0.0488557
0.810328,0.0488928
0.811329,0.0489313
0.81233,0.0489714
0.813331,0.049013
0.814331,0.0490562
0.815332,0.0491009
0.816333,0.0491473
0.817334,0.0491952
0.818335,0.0492448
0.819335,0.049296
0.820336,0.0493489
0.821337,0.0494036
0.822338,0.0494599
0.823339,0.049518
0.824339,0.0495779
0.82534,0.0496396
0.826341,0.0497031
0.827342,0.0497685
0.828343,0.0498357
0.829343,0.0499049
0.830344,0.0499759
0.831345,0.0500489
0.832346,0.0501239
0.833347,0.0502008
0.834347,0.0502798
0.835348,0.0503608
0.836349,0.0504438
0.83735,0.050529
0.838351,0.0506162
0.839351,0.0507056
0.840352,0.0507971
0.841353,0.0508909
0.842354,0.0509868
0.843355,0.0510849
0.844355,0.0511852
0.845356,0.0512879
0.846357,0.0513927
0.847358,0.0514999
0.848359,0.0516095
0.849359,0.0517213
0.85036,0.0518355
0.851361,0.0519521
0.852362,0.0520711
0.853363,0.0521925
0.854363,0.0523163
0.855364,0.0524426
0.856365,0.0525713
0.857366,0.0527025
0.858367,0.0528362
0.859367,0.0529724
0.860368,0.0531111
0.861369,0.0532523
0.86237,0.0533961
0.863371,0.0535424
0.864371,0.0536913
0.865372,0.0538427
0.866373,0.0539968
0.867374,0.0541534
0.868375,0.0543126
0.869376,0.0544744
0.870376,0.0546388
0.871377,0.0548058
0.872378,0.0549755
0.873379,0.0551477
0.87438,0.0553226
0.87538,0.0555
0.876381,0.0556801
0.877382,0.0558628
0.878383,0.0560482
0.879384,0.0562361
0.880384,0.0564267
0.881385,0.0566198
0.882386,0.0568156
0.883387,0.0570139
0.884388,0.0572149
0.885388,0.0574184
0.886389,0.0576245
0.88739,0.0578331
0.888391,0.0580443
0.889392,0.058258
0.890392,0.0584743
0.891393,0.0586931
0.892394,0.0589143
0.893395,0.0591381
0.894396,0.0593643
0.895396,0.0595929
0.896397,0.059824
0.897398,0.0600575
0.898399,0.0602934
0.8994,0.0605316
0.9004,0.0607722
0.901401,0.0610151
0.902402,0.0612603
0.903403,0.0615078
0.904404,0.0617575
0.905404,0.0620095
0.906405,0.0622637
0.907406,0.06252
0.908407,0.0627784
0.909408,0.063039
0.910408,0.0633017
0.911409,0.0635664
0.91241,0.0638331
0.913411,0.0641018
0.914412,0.0643725
0.915412,0.0646451
0.916413,0.0649196
0.917414,0.0651959
0.918415,0.0654741
0.919416,0.065754
0.920416,0.0660356
0.921417,0.066319
0.922418,0.0666041
0.923419,0.0668907
0.92442,0.067179
0.92542,0.0674688
0.926421,0.0677601
0.927422,0.0680529
0.928423,0.0683471
0.929424,0.0686427
0.930424,0.0689396
0.931425,0.0692379
0.932426,0.0695374
0.933427,0.0698381
0.934428,0.07014
0.935428,0.070443
0.936429,0.0707471
0.93743,0.0710522
0.938431,0.0713584
0.939432,0.0716655
0.940432,0.0719734
0.941433,0.0722823
0.942434,0.072592
0.943435,0.0729024
0.944436,0.0732136
0.945436,0.0735254
0.946437,0.0738379
0.947438,0.074151
0.948439,0.0744646
0.94944,0.0747787
0.95044,0.0750933
0.951441,0.0754082
0.952442,0.0757235
0.953443,0.0760391
0.954444,0.076355
0.955444,0.0766711
0.956445,0.0769874
0.957446,0.0773038
0.958447,0.0776203
0.959448,0.0779368
0.960448,0.0782533
0.961449,0.0785698
0.96245,0.0788861
0.963451,0.0792023
0.964452,0.0795184
0.965452,0.0798342
0.966453,0.0801497
0.967454,0.0804649
0.968455,0.0807797
0.969456,0.0810941
0.970456,0.0814081
0.971457,0.0817216
0.972458,0.0820345
0.973459,0.0823469
0.97446,0.0826587
0.97546,0.0829697
0.976461,0.0832801
0.977462,0.0835898
0.978463,0.0838987
0.979464,0.0842067
0.980464,0.0845139
0.981465,0.0848203
0.982466,0.0851256
0.983467,0.08543
0.984468,0.0857334
0.985468,0.0860358
0.986469,0.0863371
0.98747,0.0866372
0.988471,0.0869362
0.989472,0.087234
0.990472,0.0875306
0.991473,0.087826
0.992474,0.0881201
0.993475,0.0884128
0.994476,0.0887042
0.995476,0.0889942
0.996477,0.0892828
0.997478,0.08957
0.998479,0.0898557
0.99948,0.0901399
1.00048,0.0904226
1.00148,0.0907037
1.00248,0.0909832
1.00348,0.0912611
1.00448,0.0915374
1.00548,0.0918121
1.00649,0.092085
1.00749,0.0923563
1.00849,0.0926258
1.00949,0.0928935
1.01049,0.0931595
1.01149,0.0934237
1.01249,0.0936861
1.01349,0.0939466
1.01449,0.0942053
1.01549,0.0944621
1.01649,0.094717
1.01749,0.09497
1.01849,0.0952211
1.0195,0.0954702
1.0205,0.0957173
1.0215,0.0959625
1.0225,0.0962057
1.0235,0.0964469
1.0245,0.096686
1.0255,0.0969231
1.0265,0.0971582
1.0275,0.0973912
1.0285,0.0976222
1.0295,0.097851
1.0305,0.0980778
1.03151,0.0983025
1.03251,0.0985251
1.03351,0.0987455
1.03451,0.0989639
1.03551,0.0991801
1.03651,0.0993942
1.03751,0.0996061
1.03851,0.0998159
1.03951,0.100023
1.04051,0.100229
1.04151,0.100432
