File,Width (m),Thickness (m),Confinement Factor (2D)
E_field_data_1.2e-006 7.5e-007.mat,1.2e-06,7.5e-07,0.6900027321051477
E_field_data_1.25e-006 1.15e-006.mat,1.25e-06,1.15e-06,0.7767455264197268
E_field_data_1.25e-006 8.5e-007.mat,1.25e-06,8.5e-07,0.7104152646503263
E_field_data_1.5e-006 5.5e-007.mat,1.5e-06,5.5e-07,0.6176406967347983
E_field_data_1e-006 4e-007.mat,1e-06,4e-07,0.5382130381125552
E_field_data_1e-006 5e-007.mat,1e-06,5e-07,0.5979466461308626
E_field_data_1.35e-006 1.2e-006.mat,1.35e-06,1.2e-06,0.7797837385832018
E_field_data_1.35e-006 1.3e-006.mat,1.35e-06,1.3e-06,0.7959255820441773
E_field_data_1.2e-006 5e-007.mat,1.2e-06,5e-07,0.6011552543087981
E_field_data_1.2e-006 4e-007.mat,1.2e-06,4e-07,0.5398568282570818
E_field_data_1.35e-006 1.15e-006.mat,1.35e-06,1.15e-06,0.7784146632404125
E_field_data_1.35e-006 8e-007.mat,1.35e-06,8e-07,0.6998102799596654
E_field_data_1.35e-006 9e-007.mat,1.35e-06,9e-07,0.7284053065373394
E_field_data_1.3e-006 3e-007.mat,1.3e-06,3e-07,0.4683558652959571
E_field_data_1.4e-006 3e-007.mat,1.4e-06,3e-07,0.4683200527675638
E_field_data_1.25e-006 4e-007.mat,1.25e-06,4e-07,0.5399709551026481
E_field_data_1.25e-006 5e-007.mat,1.25e-06,5e-07,0.5981256088574144
E_field_data_1.4e-006 8.5e-007.mat,1.4e-06,8.5e-07,0.7144673322702648
E_field_data_1.1e-006 5.5e-007.mat,1.1e-06,5.5e-07,0.6154289844787743
E_field_data_1.5e-006 4e-007.mat,1.5e-06,4e-07,0.5403561196624973
E_field_data_1.5e-006 5e-007.mat,1.5e-06,5e-07,0.6020389768723784
E_field_data_1e-006 1.25e-006.mat,1e-06,1.25e-06,0.7771324348677932
E_field_data_1.45e-006 1.15e-006.mat,1.45e-06,1.15e-06,0.7798956216195472
E_field_data_1.3e-006 1.1e-006.mat,1.3e-06,1.1e-06,0.7658912780036543
E_field_data_1.05e-006 1.3e-006.mat,1.05e-06,1.3e-06,0.7893889588430333
E_field_data_1.5e-006 1.25e-006.mat,1.5e-06,1.25e-06,0.7885648957297222
E_field_data_1.05e-006 1.2e-006.mat,1.05e-06,1.2e-06,0.7724467304142656
E_field_data_1.15e-006 8.5e-007.mat,1.15e-06,8.5e-07,0.7088334913628686
E_field_data_1.15e-006 1e-006.mat,1.15e-06,1e-06,0.7394453611511563
E_field_data_1.3e-006 7.5e-007.mat,1.3e-06,7.5e-07,0.6912603375211364
E_field_data_1.1e-006 8.5e-007.mat,1.1e-06,8.5e-07,0.7082656263030301
E_field_data_1.35e-006 3.5e-007.mat,1.35e-06,3.5e-07,0.5144007010026165
E_field_data_1.4e-006 5.5e-007.mat,1.4e-06,5.5e-07,0.6473874629105896
E_field_data_1.45e-006 7e-007.mat,1.45e-06,7e-07,0.6722112271537353
E_field_data_1.45e-006 6e-007.mat,1.45e-06,6e-07,0.6370016683158601
E_field_data_1.4e-006 9e-007.mat,1.4e-06,9e-07,0.7283902177062108
E_field_data_1.4e-006 8e-007.mat,1.4e-06,8e-07,0.6998456801748479
E_field_data_1.2e-006 1.05e-006.mat,1.2e-06,1.05e-06,0.7611317043375339
E_field_data_1.15e-006 5.5e-007.mat,1.15e-06,5.5e-07,0.6159854269471957
E_field_data_1.45e-006 1.1e-006.mat,1.45e-06,1.1e-06,0.7672218250384171
E_field_data_1.05e-006 6.5e-007.mat,1.05e-06,6.5e-07,0.6515007895407644
E_field_data_1.45e-006 7.5e-007.mat,1.45e-06,7.5e-07,0.692623347220696
E_field_data_1.1e-006 8e-007.mat,1.1e-06,8e-07,0.6962737275417138
E_field_data_1.1e-006 9e-007.mat,1.1e-06,9e-07,0.7231049759459576
E_field_data_1.15e-006 1.25e-006.mat,1.15e-06,1.25e-06,0.7856575159615092
E_field_data_1.3e-006 4.5e-007.mat,1.3e-06,4.5e-07,0.5766291952539564
E_field_data_1.4e-006 1.25e-006.mat,1.4e-06,1.25e-06,0.7868661289530803
E_field_data_1.15e-006 1.3e-006.mat,1.15e-06,1.3e-06,0.7913658448458857
E_field_data_1.15e-006 1.2e-006.mat,1.15e-06,1.2e-06,0.9802062184072317
E_field_data_1.2e-006 1e-006.mat,1.2e-06,1e-06,0.7397176508425652
E_field_data_1.45e-006 9.5e-007.mat,1.45e-06,9.5e-07,0.734227666973602
E_field_data_1.05e-006 8.5e-007.mat,1.05e-06,8.5e-07,0.7058358414539144
E_field_data_1.4e-006 1.3e-006.mat,1.4e-06,1.3e-06,0.7987790558178093
E_field_data_1.4e-006 1.2e-006.mat,1.4e-06,1.2e-06,0.7817910605160556
E_field_data_1.05e-006 9e-007.mat,1.05e-06,9e-07,0.7226939743230807
E_field_data_1.05e-006 8e-007.mat,1.05e-06,8e-07,0.6941311321220935
E_field_data_1.05e-006 1.25e-006.mat,1.05e-06,1.25e-06,0.7790223005659754
E_field_data_1.1e-006 6.5e-007.mat,1.1e-06,6.5e-07,0.6532006715184552
E_field_data_1e-006 1e-006.mat,1e-06,1e-06,0.738694692360139
E_field_data_1.3e-006 6e-007.mat,1.3e-06,6e-07,0.6370357176657058
E_field_data_1.3e-006 7e-007.mat,1.3e-06,7e-07,0.6716216457681689
E_field_data_1.5e-006 3.5e-007.mat,1.5e-06,3.5e-07,0.5145904283431098
E_field_data_1.05e-006 5.5e-007.mat,1.05e-06,5.5e-07,0.6149287741163622
E_field_data_1.3e-006 1.05e-006.mat,1.3e-06,1.05e-06,0.7628996606666556
E_field_data_1.45e-006 4.5e-007.mat,1.45e-06,4.5e-07,0.576619668592731
E_field_data_1.15e-006 6.5e-007.mat,1.15e-06,6.5e-07,0.6533035324307007
E_field_data_1.3e-006 9.5e-007.mat,1.3e-06,9.5e-07,0.732843430664998
E_field_data_1.1e-006 3e-007.mat,1.1e-06,3e-07,0.46681121259266595
