width,thickness,transmission
1.2e-06,6.5e-07,0.998092
1.21e-06,6.5e-07,0.998093
1.22e-06,6.5e-07,0.998095
1.23e-06,6.5e-07,0.998095
1.24e-06,6.5e-07,0.998096
1.25e-06,6.5e-07,0.998097
1.26e-06,6.5e-07,0.998098
1.27e-06,6.5e-07,0.998099
1.28e-06,6.5e-07,0.9981
1.29e-06,6.5e-07,0.998101
1.3e-06,6.5e-07,0.998102
1.31e-06,6.5e-07,0.998103
1.32e-06,6.5e-07,0.998103
1.33e-06,6.5e-07,0.998104
1.34e-06,6.5e-07,0.998105
1.2e-06,6.6e-07,0.998095
1.21e-06,6.6e-07,0.998096
1.22e-06,6.6e-07,0.998096
1.23e-06,6.6e-07,0.998097
1.24e-06,6.6e-07,0.998098
1.25e-06,6.6e-07,0.998099
1.26e-06,6.6e-07,0.9981
1.27e-06,6.6e-07,0.998101
1.28e-06,6.6e-07,0.998102
1.29e-06,6.6e-07,0.998103
1.3e-06,6.6e-07,0.998104
1.31e-06,6.6e-07,0.998105
1.32e-06,6.6e-07,0.998106
1.33e-06,6.6e-07,0.998106
1.34e-06,6.6e-07,0.998107
1.2e-06,6.7e-07,0.998097
1.21e-06,6.7e-07,0.998097
1.22e-06,6.7e-07,0.998098
1.23e-06,6.7e-07,0.998099
1.24e-06,6.7e-07,0.9981
1.25e-06,6.7e-07,0.998101
1.26e-06,6.7e-07,0.998102
1.27e-06,6.7e-07,0.998103
1.28e-06,6.7e-07,0.998104
1.29e-06,6.7e-07,0.998105
1.3e-06,6.7e-07,0.998106
1.31e-06,6.7e-07,0.998107
1.32e-06,6.7e-07,0.998108
1.33e-06,6.7e-07,0.998109
1.34e-06,6.7e-07,0.99811
1.2e-06,6.8e-07,0.998098
1.21e-06,6.8e-07,0.998099
1.22e-06,6.8e-07,0.9981
1.23e-06,6.8e-07,0.998101
1.24e-06,6.8e-07,0.998102
1.25e-06,6.8e-07,0.998104
1.26e-06,6.8e-07,0.998105
1.27e-06,6.8e-07,0.998106
1.28e-06,6.8e-07,0.998107
1.29e-06,6.8e-07,0.998108
1.3e-06,6.8e-07,0.998109
1.31e-06,6.8e-07,0.99811
1.32e-06,6.8e-07,0.998111
1.33e-06,6.8e-07,0.998112
1.34e-06,6.8e-07,0.998113
1.2e-06,6.9e-07,0.998101
1.21e-06,6.9e-07,0.998102
1.22e-06,6.9e-07,0.998103
1.23e-06,6.9e-07,0.998104
1.24e-06,6.9e-07,0.998105
1.25e-06,6.9e-07,0.998106
1.26e-06,6.9e-07,0.998107
1.27e-06,6.9e-07,0.998109
1.28e-06,6.9e-07,0.99811
1.29e-06,6.9e-07,0.998111
1.3e-06,6.9e-07,0.998112
1.31e-06,6.9e-07,0.998113
1.32e-06,6.9e-07,0.998114
1.33e-06,6.9e-07,0.998115
1.34e-06,6.9e-07,0.998116
1.2e-06,7e-07,0.998103
1.21e-06,7e-07,0.998105
1.22e-06,7e-07,0.998106
1.23e-06,7e-07,0.998107
1.24e-06,7e-07,0.998108
1.25e-06,7e-07,0.998109
1.26e-06,7e-07,0.99811
1.27e-06,7e-07,0.998112
1.28e-06,7e-07,0.998113
1.29e-06,7e-07,0.998114
1.3e-06,7e-07,0.998115
1.31e-06,7e-07,0.998116
1.32e-06,7e-07,0.998117
1.33e-06,7e-07,0.998118
1.34e-06,7e-07,0.998119
1.2e-06,7.1e-07,0.998106
1.21e-06,7.1e-07,0.998108
1.22e-06,7.1e-07,0.998109
1.23e-06,7.1e-07,0.99811
1.24e-06,7.1e-07,0.998111
1.25e-06,7.1e-07,0.998112
1.26e-06,7.1e-07,0.998114
1.27e-06,7.1e-07,0.998115
1.28e-06,7.1e-07,0.998116
1.29e-06,7.1e-07,0.998117
1.3e-06,7.1e-07,0.998118
1.31e-06,7.1e-07,0.998119
1.32e-06,7.1e-07,0.99812
1.33e-06,7.1e-07,0.998121
1.34e-06,7.1e-07,0.998122
1.2e-06,7.2e-07,0.99811
1.21e-06,7.2e-07,0.998111
1.22e-06,7.2e-07,0.998112
1.23e-06,7.2e-07,0.998113
1.24e-06,7.2e-07,0.998114
1.25e-06,7.2e-07,0.998115
1.26e-06,7.2e-07,0.998117
1.27e-06,7.2e-07,0.998118
1.28e-06,7.2e-07,0.998119
1.29e-06,7.2e-07,0.99812
1.3e-06,7.2e-07,0.998121
1.31e-06,7.2e-07,0.998122
1.32e-06,7.2e-07,0.998123
1.33e-06,7.2e-07,0.998124
1.34e-06,7.2e-07,0.998124
1.2e-06,7.3e-07,0.998113
1.21e-06,7.3e-07,0.998114
1.22e-06,7.3e-07,0.998116
1.23e-06,7.3e-07,0.998117
1.24e-06,7.3e-07,0.998118
1.25e-06,7.3e-07,0.998119
1.26e-06,7.3e-07,0.99812
1.27e-06,7.3e-07,0.998121
1.28e-06,7.3e-07,0.998121
1.29e-06,7.3e-07,0.998122
1.3e-06,7.3e-07,0.998123
1.31e-06,7.3e-07,0.998124
1.32e-06,7.3e-07,0.998125
1.33e-06,7.3e-07,0.998126
1.34e-06,7.3e-07,0.998127
1.2e-06,7.4e-07,0.998117
1.21e-06,7.4e-07,0.998119
1.22e-06,7.4e-07,0.998119
1.23e-06,7.4e-07,0.99812
1.24e-06,7.4e-07,0.998121
1.25e-06,7.4e-07,0.998122
1.26e-06,7.4e-07,0.998123
1.27e-06,7.4e-07,0.998124
1.28e-06,7.4e-07,0.998124
1.29e-06,7.4e-07,0.998125
1.3e-06,7.4e-07,0.998126
1.31e-06,7.4e-07,0.998127
1.32e-06,7.4e-07,0.998128
1.33e-06,7.4e-07,0.998128
1.34e-06,7.4e-07,0.998129
