width,thickness,transmission
1.00E-06,4.00E-07,0.997059
1.05E-06,4.00E-07,0.995428
1.10E-06,4.00E-07,0.992752
1.15E-06,4.00E-07,0.992895
1.20E-06,4.00E-07,0.991326
1.25E-06,4.00E-07,0.991329
1.30E-06,4.00E-07,0.987352
1.35E-06,4.00E-07,0.98752
1.40E-06,4.00E-07,0.987651
1.00E-06,4.50E-07,0.988633
1.05E-06,4.50E-07,0.988872
1.10E-06,4.50E-07,0.98906
1.15E-06,4.50E-07,0.989205
1.20E-06,4.50E-07,0.989269
1.25E-06,4.50E-07,0.989309
1.30E-06,4.50E-07,0.989417
1.35E-06,4.50E-07,0.989539
1.40E-06,4.50E-07,0.989622
1.00E-06,5.00E-07,0.990968
1.05E-06,5.00E-07,0.991121
1.10E-06,5.00E-07,0.991248
1.15E-06,5.00E-07,0.991371
1.20E-06,5.00E-07,0.991451
1.25E-06,5.00E-07,0.991514
1.30E-06,5.00E-07,0.991595
1.35E-06,5.00E-07,0.991664
1.40E-06,5.00E-07,0.991714
1.00E-06,5.50E-07,0.99301
1.05E-06,5.50E-07,0.993146
1.10E-06,5.50E-07,0.993273
1.15E-06,5.50E-07,0.993407
1.20E-06,5.50E-07,0.993501
1.25E-06,5.50E-07,0.993558
1.30E-06,5.50E-07,0.99361
1.35E-06,5.50E-07,0.993656
1.40E-06,5.50E-07,0.993694
1.00E-06,6.00E-07,0.993621
1.05E-06,6.00E-07,0.99374
1.10E-06,6.00E-07,0.993852
1.15E-06,6.00E-07,0.993964
1.20E-06,6.00E-07,0.99404
1.25E-06,6.00E-07,0.994072
1.30E-06,6.00E-07,0.994101
1.35E-06,6.00E-07,0.994134
1.40E-06,6.00E-07,0.994158
1.00E-06,6.50E-07,0.994915
1.05E-06,6.50E-07,0.995007
1.10E-06,6.50E-07,0.995083
1.15E-06,6.50E-07,0.995166
1.20E-06,6.50E-07,0.995223
1.25E-06,6.50E-07,0.995244
1.30E-06,6.50E-07,0.995264
1.35E-06,6.50E-07,0.99528
1.40E-06,6.50E-07,0.995287
1.00E-06,7.00E-07,0.995088
1.05E-06,7.00E-07,0.995157
1.10E-06,7.00E-07,0.995261
1.15E-06,7.00E-07,0.99535
1.20E-06,7.00E-07,0.995386
1.25E-06,7.00E-07,0.99539
1.30E-06,7.00E-07,0.995406
1.35E-06,7.00E-07,0.99544
1.40E-06,7.00E-07,0.995492
1.00E-06,7.50E-07,0.995577
1.05E-06,7.50E-07,0.995694
1.10E-06,7.50E-07,0.995803
1.15E-06,7.50E-07,0.995799
1.20E-06,7.50E-07,0.995815
1.25E-06,7.50E-07,0.995855
1.30E-06,7.50E-07,0.995915
1.35E-06,7.50E-07,0.995971
1.40E-06,7.50E-07,0.995995
1.00E-06,8.00E-07,0.996257
1.05E-06,8.00E-07,0.996365
1.10E-06,8.00E-07,0.996311
1.15E-06,8.00E-07,0.996317
1.20E-06,8.00E-07,0.996428
1.25E-06,8.00E-07,0.996503
1.30E-06,8.00E-07,0.996549
1.35E-06,8.00E-07,0.99657
1.40E-06,8.00E-07,0.996581
1.00E-06,8.50E-07,0.996301
1.05E-06,8.50E-07,0.996306
1.10E-06,8.50E-07,0.996301
1.15E-06,8.50E-07,0.996453
1.20E-06,8.50E-07,0.996549
1.25E-06,8.50E-07,0.996553
1.30E-06,8.50E-07,0.996542
1.35E-06,8.50E-07,0.996536
1.40E-06,8.50E-07,0.996538
1.00E-06,9.00E-07,0.996436
1.05E-06,9.00E-07,0.996473
1.10E-06,9.00E-07,0.99654
1.15E-06,9.00E-07,0.996645
1.20E-06,9.00E-07,0.996662
1.25E-06,9.00E-07,0.996637
1.30E-06,9.00E-07,0.99664
1.35E-06,9.00E-07,0.996661
1.40E-06,9.00E-07,0.996682
1.00E-06,9.50E-07,0.996909
1.05E-06,9.50E-07,0.997
1.10E-06,9.50E-07,0.997064
1.15E-06,9.50E-07,0.997121
1.20E-06,9.50E-07,0.997135
1.25E-06,9.50E-07,0.997139
1.30E-06,9.50E-07,0.997171
1.35E-06,9.50E-07,0.997197
1.40E-06,9.50E-07,0.997218
1.00E-06,1.00E-06,0.997015
1.05E-06,1.00E-06,0.997077
1.10E-06,1.00E-06,0.997094
1.15E-06,1.00E-06,0.997116
1.20E-06,1.00E-06,0.997117
1.25E-06,1.00E-06,0.997122
1.30E-06,1.00E-06,0.997144
1.35E-06,1.00E-06,0.997159
1.40E-06,1.00E-06,0.997168
