File,Width (m),Thickness (m),Confinement Factor (2D)
E_field_data_1.25e-006 6.5e-007.mat,1.25e-06,6.5e-07,0.6548154327230483
E_field_data_1.28e-006 7.2e-007.mat,1.28e-06,7.2e-07,0.6768431614429259
E_field_data_1.28e-006 7.3e-007.mat,1.28e-06,7.3e-07,0.6797878699833655
E_field_data_1.32e-006 7.4e-007.mat,1.32e-06,7.4e-07,0.6886887826617173
E_field_data_1.31e-006 7.3e-007.mat,1.31e-06,7.3e-07,0.6800993702205067
E_field_data_1.31e-006 7.2e-007.mat,1.31e-06,7.2e-07,0.6773114646016754
E_field_data_1.24e-006 7e-007.mat,1.24e-06,7e-07,0.6761651679552335
E_field_data_1.26e-006 7.1e-007.mat,1.26e-06,7.1e-07,0.6736189737655415
E_field_data_1.26e-006 6.8e-007.mat,1.26e-06,6.8e-07,0.6708434425017497
E_field_data_1.26e-006 6.9e-007.mat,1.26e-06,6.9e-07,0.6738348256687575
E_field_data_1.3e-006 7.1e-007.mat,1.3e-06,7.1e-07,0.6743389378113189
E_field_data_1.3e-006 6.9e-007.mat,1.3e-06,6.9e-07,0.6742433997573077
E_field_data_1.3e-006 6.8e-007.mat,1.3e-06,6.8e-07,0.6709206911404637
E_field_data_1.34e-006 7.4e-007.mat,1.34e-06,7.4e-07,0.6893368675169479
E_field_data_1.31e-006 6.6e-007.mat,1.31e-06,6.6e-07,0.6644886062572248
E_field_data_1.31e-006 6.7e-007.mat,1.31e-06,6.7e-07,0.6676573492488522
E_field_data_1.33e-006 7e-007.mat,1.33e-06,7e-07,0.6773012092368705
E_field_data_1.3e-006 6.5e-007.mat,1.3e-06,6.5e-07,0.6548885175898351
E_field_data_1.28e-006 7.4e-007.mat,1.28e-06,7.4e-07,0.6882803012897474
E_field_data_1.26e-006 6.5e-007.mat,1.26e-06,6.5e-07,0.654464374627841
E_field_data_1.25e-006 7e-007.mat,1.25e-06,7e-07,0.676423934168531
E_field_data_1.31e-006 7.4e-007.mat,1.31e-06,7.4e-07,0.6887185078581589
E_field_data_1.32e-006 7.3e-007.mat,1.32e-06,7.3e-07,0.6800158997296156
E_field_data_1.32e-006 7.2e-007.mat,1.32e-06,7.2e-07,0.6775023726444687
E_field_data_1.34e-006 6.7e-007.mat,1.34e-06,6.7e-07,0.6680845913059417
E_field_data_1.34e-006 6.6e-007.mat,1.34e-06,6.6e-07,0.6649845305783803
E_field_data_1.28e-006 6.7e-007.mat,1.28e-06,6.7e-07,0.6675718029419832
E_field_data_1.28e-006 6.6e-007.mat,1.28e-06,6.6e-07,0.6641403927090668
E_field_data_1.25e-006 7.1e-007.mat,1.25e-06,7.1e-07,0.6736090343102572
E_field_data_1.25e-006 6.8e-007.mat,1.25e-06,6.8e-07,0.6705666900147648
E_field_data_1.25e-006 6.9e-007.mat,1.25e-06,6.9e-07,0.673627406166806
E_field_data_1.23e-006 6.5e-007.mat,1.23e-06,6.5e-07,0.6548202025218144
E_field_data_1.2e-006 7e-007.mat,1.2e-06,7e-07,0.6757983520197243
E_field_data_1.21e-006 6.8e-007.mat,1.21e-06,6.8e-07,0.6696666544908132
E_field_data_1.21e-006 6.9e-007.mat,1.21e-06,6.9e-07,0.6726943349177587
E_field_data_1.2e-006 6.5e-007.mat,1.2e-06,6.5e-07,0.6732530878558484
E_field_data_1.21e-006 7.1e-007.mat,1.21e-06,7.1e-07,0.673678271330345
E_field_data_1.29e-006 7.4e-007.mat,1.29e-06,7.4e-07,0.6884331970458408
E_field_data_1.27e-006 6.5e-007.mat,1.27e-06,6.5e-07,0.6547743905948818
E_field_data_1.22e-006 7e-007.mat,1.22e-06,7e-07,0.6758662094789375
E_field_data_1.33e-006 7.2e-007.mat,1.33e-06,7.2e-07,0.6776222158654565
E_field_data_1.33e-006 7.3e-007.mat,1.33e-06,7.3e-07,0.6804411049953908
E_field_data_1.29e-006 6.6e-007.mat,1.29e-06,6.6e-07,0.6642074310776999
E_field_data_1.29e-006 6.7e-007.mat,1.29e-06,6.7e-07,0.6675465754084244
E_field_data_1.24e-006 7.1e-007.mat,1.24e-06,7.1e-07,0.6735426316111666
E_field_data_1.34e-006 7e-007.mat,1.34e-06,7e-07,0.677368998759448
E_field_data_1.24e-006 6.9e-007.mat,1.24e-06,6.9e-07,0.6730050271202555
E_field_data_1.24e-006 6.8e-007.mat,1.24e-06,6.8e-07,0.6704984097395011
E_field_data_1.22e-006 6.5e-007.mat,1.22e-06,6.5e-07,0.6544182749080982
