File,Width (m),Thickness (m),Confinement Factor (2D)
E_field_data_1.31e-006 6.8e-007.mat,1.31e-06,6.8e-07,0.6708855683376637
E_field_data_1.31e-006 6.9e-007.mat,1.31e-06,6.9e-07,0.6746138283804054
E_field_data_1.28e-006 7e-007.mat,1.28e-06,7e-07,0.6771264779354782
E_field_data_1.31e-006 7.1e-007.mat,1.31e-06,7.1e-07,0.6744825112121836
E_field_data_1.26e-006 7.3e-007.mat,1.26e-06,7.3e-07,0.6797531244786662
E_field_data_1.26e-006 7.2e-007.mat,1.26e-06,7.2e-07,0.6766424534677496
E_field_data_1.25e-006 7.4e-007.mat,1.25e-06,7.4e-07,0.688347663372026
E_field_data_1.31e-006 7e-007.mat,1.31e-06,7e-07,0.6774609539335693
E_field_data_1.3e-006 7.2e-007.mat,1.3e-06,7.2e-07,0.6771355416148286
E_field_data_1.3e-006 7.3e-007.mat,1.3e-06,7.3e-07,0.6799550931739605
E_field_data_1.34e-006 7.1e-007.mat,1.34e-06,7.1e-07,0.674734939153393
E_field_data_1.34e-006 6.9e-007.mat,1.34e-06,6.9e-07,0.674206329060201
E_field_data_1.34e-006 6.8e-007.mat,1.34e-06,6.8e-07,0.6711640960003108
E_field_data_1.32e-006 6.5e-007.mat,1.32e-06,6.5e-07,0.6552151789802207
E_field_data_1.27e-006 7e-007.mat,1.27e-06,7e-07,0.6769538435010022
E_field_data_1.23e-006 7.2e-007.mat,1.23e-06,7.2e-07,0.6768025131806542
E_field_data_1.23e-006 7.3e-007.mat,1.23e-06,7.3e-07,0.6795445887303998
E_field_data_1.28e-006 6.9e-007.mat,1.28e-06,6.9e-07,0.6741103630887546
E_field_data_1.28e-006 6.8e-007.mat,1.28e-06,6.8e-07,0.6709879262420803
E_field_data_1.28e-006 7.1e-007.mat,1.28e-06,7.1e-07,0.6739813327492274
E_field_data_1.25e-006 6.6e-007.mat,1.25e-06,6.6e-07,0.6642419362773662
E_field_data_1.25e-006 6.7e-007.mat,1.25e-06,6.7e-07,0.6675929138730406
E_field_data_1.27e-006 7.2e-007.mat,1.27e-06,7.2e-07,0.6767463478323729
E_field_data_1.27e-006 7.3e-007.mat,1.27e-06,7.3e-07,0.6797371184774649
E_field_data_1.24e-006 7.4e-007.mat,1.24e-06,7.4e-07,0.6883785194631258
E_field_data_1.21e-006 6.6e-007.mat,1.21e-06,6.6e-07,0.6637483782545265
E_field_data_1.2e-006 7.3e-007.mat,1.2e-06,7.3e-07,0.6788670203450573
E_field_data_1.2e-006 7.2e-007.mat,1.2e-06,7.2e-07,0.6755673718886984
E_field_data_1.21e-006 6.7e-007.mat,1.21e-06,6.7e-07,0.6675201479428013
E_field_data_1.33e-006 6.5e-007.mat,1.33e-06,6.5e-07,0.6552458489106653
E_field_data_1.21e-006 7.4e-007.mat,1.21e-06,7.4e-07,0.6887980582326936
E_field_data_1.22e-006 7.3e-007.mat,1.22e-06,7.3e-07,0.6806684264863292
E_field_data_1.22e-006 7.2e-007.mat,1.22e-06,7.2e-07,0.6766847775558281
E_field_data_1.29e-006 6.8e-007.mat,1.29e-06,6.8e-07,0.670905024154447
E_field_data_1.29e-006 6.9e-007.mat,1.29e-06,6.9e-07,0.6742523023653414
E_field_data_1.29e-006 7.1e-007.mat,1.29e-06,7.1e-07,0.6747128040386933
E_field_data_1.24e-006 6.7e-007.mat,1.24e-06,6.7e-07,0.6674553601397683
E_field_data_1.24e-006 6.6e-007.mat,1.24e-06,6.6e-07,0.6642572194073406
E_field_data_1.33e-006 6.9e-007.mat,1.33e-06,6.9e-07,0.6741546472000256
E_field_data_1.33e-006 6.8e-007.mat,1.33e-06,6.8e-07,0.6709968717344724
E_field_data_1.21e-006 7e-007.mat,1.21e-06,7e-07,0.675785037445226
E_field_data_1.33e-006 7.1e-007.mat,1.33e-06,7.1e-07,0.6746888570230681
E_field_data_1.24e-006 7.2e-007.mat,1.24e-06,7.2e-07,0.6767348541470538
E_field_data_1.24e-006 7.3e-007.mat,1.24e-06,7.3e-07,0.6798302062214964
E_field_data_1.29e-006 6.5e-007.mat,1.29e-06,6.5e-07,0.6547980250073051
E_field_data_1.27e-006 7.4e-007.mat,1.27e-06,7.4e-07,0.688225141577681
E_field_data_1.22e-006 6.6e-007.mat,1.22e-06,6.6e-07,0.6638298593958263
E_field_data_1.22e-006 6.7e-007.mat,1.22e-06,6.7e-07,0.6670563089199184
E_field_data_1.2e-006 7.4e-007.mat,1.2e-06,7.4e-07,0.6872847679604412
E_field_data_1.22e-006 7.4e-007.mat,1.22e-06,7.4e-07,0.6892056530031219
E_field_data_1.2e-006 6.6e-007.mat,1.2e-06,6.6e-07,0.6635010547148502
E_field_data_1.21e-006 7.3e-007.mat,1.21e-06,7.3e-07,0.6803213164811385
E_field_data_1.21e-006 7.2e-007.mat,1.21e-06,7.2e-07,0.6761241919229962
E_field_data_1.2e-006 6.7e-007.mat,1.2e-06,6.7e-07,0.6664801341643924
E_field_data_1.27e-006 6.7e-007.mat,1.27e-06,6.7e-07,0.6676427950374869
E_field_data_1.27e-006 6.6e-007.mat,1.27e-06,6.6e-07,0.6641597233364454
E_field_data_1.32e-006 6.8e-007.mat,1.32e-06,6.8e-07,0.6709093181011689
E_field_data_1.32e-006 6.9e-007.mat,1.32e-06,6.9e-07,0.6741734569167165
E_field_data_1.32e-006 7.1e-007.mat,1.32e-06,7.1e-07,0.6745884300723115
E_field_data_1.29e-006 7e-007.mat,1.29e-06,7e-07,0.6772930283596104
E_field_data_1.34e-006 6.5e-007.mat,1.34e-06,6.5e-07,0.6553740916943636
E_field_data_1.25e-006 7.3e-007.mat,1.25e-06,7.3e-07,0.6798189587453056
E_field_data_1.25e-006 7.2e-007.mat,1.25e-06,7.2e-07,0.6766619665690701
E_field_data_1.28e-006 6.5e-007.mat,1.28e-06,6.5e-07,0.6547282872365384
E_field_data_1.26e-006 7.4e-007.mat,1.26e-06,7.4e-07,0.6882665146751022
E_field_data_1.23e-006 6.7e-007.mat,1.23e-06,6.7e-07,0.6672699705608077
E_field_data_1.23e-006 6.6e-007.mat,1.23e-06,6.6e-07,0.6642244447672161
E_field_data_1.3e-006 7.4e-007.mat,1.3e-06,7.4e-07,0.6885220654857597
E_field_data_1.31e-006 6.5e-007.mat,1.31e-06,6.5e-07,0.6550031933016768
E_field_data_1.23e-006 7.4e-007.mat,1.23e-06,7.4e-07,0.6880746480811418
E_field_data_1.3e-006 6.7e-007.mat,1.3e-06,6.7e-07,0.6675581806270494
E_field_data_1.3e-006 6.6e-007.mat,1.3e-06,6.6e-07,0.664336348704318
E_field_data_1.26e-006 7e-007.mat,1.26e-06,7e-07,0.676356420393591
E_field_data_1.26e-006 6.6e-007.mat,1.26e-06,6.6e-07,0.6642146447622017
E_field_data_1.26e-006 6.7e-007.mat,1.26e-06,6.7e-07,0.667648543842465
E_field_data_1.33e-006 6.7e-007.mat,1.33e-06,6.7e-07,0.667914302458413
E_field_data_1.33e-006 6.6e-007.mat,1.33e-06,6.6e-07,0.6648304921747139
E_field_data_1.22e-006 6.8e-007.mat,1.22e-06,6.8e-07,0.6699231984716291
E_field_data_1.22e-006 6.9e-007.mat,1.22e-06,6.9e-07,0.6728611631643994
E_field_data_1.22e-006 7.1e-007.mat,1.22e-06,7.1e-07,0.6736964755362351
E_field_data_1.23e-006 7e-007.mat,1.23e-06,7e-07,0.6760595353240153
E_field_data_1.3e-006 7e-007.mat,1.3e-06,7e-07,0.6774133803086104
E_field_data_1.24e-006 6.5e-007.mat,1.24e-06,6.5e-07,0.6547860104696216
E_field_data_1.29e-006 7.3e-007.mat,1.29e-06,7.3e-07,0.6799354032915477
E_field_data_1.29e-006 7.2e-007.mat,1.29e-06,7.2e-07,0.6769725287863072
E_field_data_1.33e-006 7.4e-007.mat,1.33e-06,7.4e-07,0.689143757830618
E_field_data_1.27e-006 7.1e-007.mat,1.27e-06,7.1e-07,0.6737957696683257
E_field_data_1.27e-006 6.9e-007.mat,1.27e-06,6.9e-07,0.6740225300070803
E_field_data_1.27e-006 6.8e-007.mat,1.27e-06,6.8e-07,0.6709414788913803
E_field_data_1.21e-006 6.5e-007.mat,1.21e-06,6.5e-07,0.6668693568140492
E_field_data_1.2e-006 7.1e-007.mat,1.2e-06,7.1e-07,0.6733519679182658
E_field_data_1.2e-006 6.8e-007.mat,1.2e-06,6.8e-07,0.6694718986841369
E_field_data_1.2e-006 6.9e-007.mat,1.2e-06,6.9e-07,0.6725859142683146
E_field_data_1.32e-006 7e-007.mat,1.32e-06,7e-07,0.6774426252827782
E_field_data_1.34e-006 7.2e-007.mat,1.34e-06,7.2e-07,0.6777366665351906
E_field_data_1.34e-006 7.3e-007.mat,1.34e-06,7.3e-07,0.6805795836953553
E_field_data_1.32e-006 6.6e-007.mat,1.32e-06,6.6e-07,0.6647208006630301
E_field_data_1.32e-006 6.7e-007.mat,1.32e-06,6.7e-07,0.6677705722374041
E_field_data_1.23e-006 6.9e-007.mat,1.23e-06,6.9e-07,0.6730946081511705
E_field_data_1.23e-006 6.8e-007.mat,1.23e-06,6.8e-07,0.6702065082470962
E_field_data_1.23e-006 7.1e-007.mat,1.23e-06,7.1e-07,0.6735532893972159
