File,Width (m),Thickness (m),Confinement Factor (2D)
E_field_data_1.3e-006 9.5e-007.mat,1.3e-06,9.5e-07,0.7951825261725664
E_field_data_1.4e-006 6.5e-007.mat,1.4e-06,6.5e-07,0.7351100209679444
E_field_data_1.35e-006 6e-007.mat,1.35e-06,6e-07,0.7273148962890187
E_field_data_1.35e-006 7e-007.mat,1.35e-06,7e-07,0.7541227783192557
E_field_data_1.2e-006 4.5e-007.mat,1.2e-06,4.5e-07,0.6660666531111449
E_field_data_1e-006 4.5e-007.mat,1e-06,4.5e-07,0.6556153943661964
E_field_data_1.35e-006 5.5e-007.mat,1.35e-06,5.5e-07,0.7028916472889374
E_field_data_1.25e-006 6.5e-007.mat,1.25e-06,6.5e-07,0.7314776317070923
E_field_data_1.15e-006 5e-007.mat,1.15e-06,5e-07,0.684983575525373
E_field_data_1.15e-006 4e-007.mat,1.15e-06,4e-07,0.6294629262492349
E_field_data_1e-006 9.5e-007.mat,1e-06,9.5e-07,0.7805915338794107
E_field_data_1.4e-006 7e-007.mat,1.4e-06,7e-07,0.7557562063812783
E_field_data_1.4e-006 6e-007.mat,1.4e-06,6e-07,0.7278653054490557
E_field_data_1.2e-006 9.5e-007.mat,1.2e-06,9.5e-07,0.7911570680260006
E_field_data_1.35e-006 8.5e-007.mat,1.35e-06,8.5e-07,0.786053059346012
E_field_data_1.25e-006 1e-006.mat,1.25e-06,1e-06,0.8057572380085599
E_field_data_1.1e-006 4.5e-007.mat,1.1e-06,4.5e-07,0.6608482017813035
E_field_data_1.4e-006 9.5e-007.mat,1.4e-06,9.5e-07,0.7985588669432577
E_field_data_1.15e-006 8e-007.mat,1.15e-06,8e-07,0.7631075509572339
E_field_data_1.15e-006 9e-007.mat,1.15e-06,9e-07,0.7868343509146232
E_field_data_1.15e-006 9.5e-007.mat,1.15e-06,9.5e-07,0.7907008657526401
E_field_data_1.3e-006 6.5e-007.mat,1.3e-06,6.5e-07,0.7321682970227433
E_field_data_1.25e-006 7e-007.mat,1.25e-06,7e-07,0.7510420837383535
E_field_data_1.25e-006 6e-007.mat,1.25e-06,6e-07,0.724469610664935
E_field_data_1.4e-006 4.5e-007.mat,1.4e-06,4.5e-07,0.6719318372720308
E_field_data_1.1e-006 9.5e-007.mat,1.1e-06,9.5e-07,0.7862635051660477
E_field_data_1.05e-006 7.5e-007.mat,1.05e-06,7.5e-07,0.7546635622636441
E_field_data_1.15e-006 4.5e-007.mat,1.15e-06,4.5e-07,0.6630862698465892
E_field_data_1.4e-006 1e-006.mat,1.4e-06,1e-06,0.810561499138256
E_field_data_1.3e-006 1e-006.mat,1.3e-06,1e-06,0.8082592840635427
E_field_data_1.35e-006 7.5e-007.mat,1.35e-06,7.5e-07,0.7660425947277676
E_field_data_1.25e-006 4.5e-007.mat,1.25e-06,4.5e-07,0.6665749981163447
E_field_data_1e-006 7e-007.mat,1e-06,7e-07,0.7392824770758233
E_field_data_1e-006 6e-007.mat,1e-06,6e-07,0.7110289678904281
E_field_data_1.2e-006 6e-007.mat,1.2e-06,6e-07,0.721791010781972
E_field_data_1.2e-006 7e-007.mat,1.2e-06,7e-07,0.7488109201856149
E_field_data_1.2e-006 6.5e-007.mat,1.2e-06,6.5e-07,0.7295316214799982
E_field_data_1e-006 6.5e-007.mat,1e-06,6.5e-07,0.7180454690677267
E_field_data_1.25e-006 9.5e-007.mat,1.25e-06,9.5e-07,0.7941104006692439
E_field_data_1.35e-006 1e-006.mat,1.35e-06,1e-06,0.8097308419458662
E_field_data_1.1e-006 5e-007.mat,1.1e-06,5e-07,0.6823715487959351
E_field_data_1.1e-006 4e-007.mat,1.1e-06,4e-07,0.6289342208147204
E_field_data_1.05e-006 4e-007.mat,1.05e-06,4e-07,0.6130876623203001
E_field_data_1.05e-006 5e-007.mat,1.05e-06,5e-07,0.6803564326770891
