File,Width (m),Thickness (m),Confinement Factor (2D)
E_field_data_1.19e-006 7.1e-007.mat,1.19e-06,7.1e-07,0.7447352029911817
E_field_data_1.19e-006 6.9e-007.mat,1.19e-06,6.9e-07,0.7459311812733563
E_field_data_1.25e-006 7.5e-007.mat,1.25e-06,7.5e-07,0.7623012227720075
E_field_data_1.17e-006 7.3e-007.mat,1.17e-06,7.3e-07,0.7489970943517963
E_field_data_1.23e-006 7.3e-007.mat,1.23e-06,7.3e-07,0.7508416163016709
E_field_data_1.15e-006 6.7e-007.mat,1.15e-06,6.7e-07,0.7388796773601155
E_field_data_1.21e-006 6.7e-007.mat,1.21e-06,6.7e-07,0.7420150961447639
E_field_data_1.15e-006 7.5e-007.mat,1.15e-06,7.5e-07,0.7579998377395432
E_field_data_1.21e-006 7.5e-007.mat,1.21e-06,7.5e-07,0.7633570628951764
E_field_data_1.15e-006 7.3e-007.mat,1.15e-06,7.3e-07,0.7476862948312166
E_field_data_1.21e-006 7.3e-007.mat,1.21e-06,7.3e-07,0.7504067319409236
E_field_data_1.17e-006 6.7e-007.mat,1.17e-06,6.7e-07,0.7402255527468714
E_field_data_1.25e-006 7.3e-007.mat,1.25e-06,7.3e-07,0.7515171278324542
E_field_data_1.17e-006 7.5e-007.mat,1.17e-06,7.5e-07,0.7591426198316593
E_field_data_1.19e-006 6.5e-007.mat,1.19e-06,6.5e-07,0.7293125367188692
E_field_data_1.23e-006 7.5e-007.mat,1.23e-06,7.5e-07,0.7618766815181881
E_field_data_1.15e-006 6.5e-007.mat,1.15e-06,6.5e-07,0.7148228956607159
E_field_data_1.21e-006 6.5e-007.mat,1.21e-06,6.5e-07,0.7297267233157299
E_field_data_1.17e-006 6.9e-007.mat,1.17e-06,6.9e-07,0.7450289913712898
E_field_data_1.17e-006 7.1e-007.mat,1.17e-06,7.1e-07,0.7440918476062144
E_field_data_1.23e-006 7.1e-007.mat,1.23e-06,7.1e-07,0.7339355492918154
E_field_data_1.19e-006 7.3e-007.mat,1.19e-06,7.3e-07,0.7490529638721942
E_field_data_1.19e-006 6.7e-007.mat,1.19e-06,6.7e-07,0.7413652075884977
E_field_data_1.17e-006 6.5e-007.mat,1.17e-06,6.5e-07,0.7285153395641558
E_field_data_1.19e-006 7.5e-007.mat,1.19e-06,7.5e-07,0.7735150639414917
E_field_data_1.25e-006 7.1e-007.mat,1.25e-06,7.1e-07,0.7467309929115403
E_field_data_1.15e-006 6.9e-007.mat,1.15e-06,6.9e-07,0.7441382112758836
E_field_data_1.15e-006 7.1e-007.mat,1.15e-06,7.1e-07,0.7434547654158767
E_field_data_1.21e-006 6.9e-007.mat,1.21e-06,6.9e-07,0.7469190022896821
E_field_data_1.21e-006 7.1e-007.mat,1.21e-06,7.1e-07,0.7295545590025262
