File,Width (m),Thickness (m),Confinement Factor (2D)
E_field_data_1.15e-006 6e-007.mat,1.15e-06,6e-07,0.6909943217227335
E_field_data_1.15e-006 7e-007.mat,1.15e-06,7e-07,0.7209877980167289
E_field_data_1.25e-006 7.5e-007.mat,1.25e-06,7.5e-07,0.7370113932619692
E_field_data_1.1e-006 7.5e-007.mat,1.1e-06,7.5e-07,0.7310245520370443
E_field_data_1.15e-006 7.5e-007.mat,1.15e-06,7.5e-07,0.7333919073443909
E_field_data_1.1e-006 6e-007.mat,1.1e-06,6e-07,0.6889371640662952
E_field_data_1.1e-006 7e-007.mat,1.1e-06,7e-07,0.7180467261714243
E_field_data_1.35e-006 6.5e-007.mat,1.35e-06,6.5e-07,0.7059479125637734
E_field_data_1e-006 7.5e-007.mat,1e-06,7.5e-07,0.7265344559856598
E_field_data_1.05e-006 7e-007.mat,1.05e-06,7e-07,0.7169326510717734
E_field_data_1.05e-006 6e-007.mat,1.05e-06,6e-07,0.6860749559294064
E_field_data_1.2e-006 7.5e-007.mat,1.2e-06,7.5e-07,0.7346588317239207
E_field_data_1.3e-006 7.5e-007.mat,1.3e-06,7.5e-07,0.737391150685482
E_field_data_1.05e-006 6.5e-007.mat,1.05e-06,6.5e-07,0.6965177247626856
E_field_data_1.1e-006 6.5e-007.mat,1.1e-06,6.5e-07,0.6997115597569503
E_field_data_1.3e-006 6e-007.mat,1.3e-06,6e-07,0.7190897445722012
E_field_data_1.3e-006 7e-007.mat,1.3e-06,7e-07,0.7254784116848308
E_field_data_1.15e-006 6.5e-007.mat,1.15e-06,6.5e-07,0.7004422542438695
E_field_data_1.35e-006 6e-007.mat,1.35e-06,6e-07,0.6947720531173419
E_field_data_1.35e-006 7e-007.mat,1.35e-06,7e-07,0.7256665736231284
E_field_data_1.25e-006 6.5e-007.mat,1.25e-06,6.5e-07,0.7037107640950484
E_field_data_1.3e-006 6.5e-007.mat,1.3e-06,6.5e-07,0.7042585333592188
E_field_data_1.25e-006 7e-007.mat,1.25e-06,7e-07,0.7234680725348763
E_field_data_1.25e-006 6e-007.mat,1.25e-06,6e-07,0.6935427906665137
E_field_data_1.05e-006 7.5e-007.mat,1.05e-06,7.5e-07,0.7286866576285124
E_field_data_1.35e-006 7.5e-007.mat,1.35e-06,7.5e-07,0.7389661161649035
E_field_data_1e-006 7e-007.mat,1e-06,7e-07,0.7128452131142565
E_field_data_1e-006 6e-007.mat,1e-06,6e-07,0.6850557012221737
E_field_data_1.2e-006 6e-007.mat,1.2e-06,6e-07,0.6918271535521667
E_field_data_1.2e-006 7e-007.mat,1.2e-06,7e-07,0.7220875241575234
E_field_data_1.2e-006 6.5e-007.mat,1.2e-06,6.5e-07,0.7023989051513079
E_field_data_1e-006 6.5e-007.mat,1e-06,6.5e-07,0.6955444579959849
