File,Width (m),Thickness (m),Confinement Factor (1D Y)
E_field_data_1e-006 5.5e-007.mat,1e-06,5.5e-07,0.9637202179271501
E_field_data_1.4e-006 4e-007.mat,1.4e-06,4e-07,0.986517977814387
E_field_data_1.4e-006 5e-007.mat,1.4e-06,5e-07,0.983632995691725
E_field_data_1.15e-006 6e-007.mat,1.15e-06,6e-07,0.9712602368667154
E_field_data_1.15e-006 7e-007.mat,1.15e-06,7e-07,0.9708312264171565
E_field_data_1.2e-006 5.5e-007.mat,1.2e-06,5.5e-07,0.9774050273592019
E_field_data_1.25e-006 7.5e-007.mat,1.25e-06,7.5e-07,0.97571297165249
E_field_data_1.35e-006 4.5e-007.mat,1.35e-06,4.5e-07,0.9828010249462402
E_field_data_1.2e-006 8.5e-007.mat,1.2e-06,8.5e-07,0.9734262931673484
E_field_data_1.25e-006 9e-007.mat,1.25e-06,9e-07,0.9753748406138321
E_field_data_1.25e-006 8e-007.mat,1.25e-06,8e-07,0.9776092302015312
E_field_data_1e-006 8.5e-007.mat,1e-06,8.5e-07,0.9607274990184077
E_field_data_1.35e-006 9.5e-007.mat,1.35e-06,9.5e-07,0.9811118997524834
E_field_data_1.05e-006 1e-006.mat,1.05e-06,1e-06,0.9635404302893908
E_field_data_1.05e-006 9.5e-007.mat,1.05e-06,9.5e-07,0.9671787228165832
E_field_data_1e-006 9e-007.mat,1e-06,9e-07,0.9605809700512615
E_field_data_1e-006 8e-007.mat,1e-06,8e-07,0.9615776081089521
E_field_data_1.3e-006 5.5e-007.mat,1.3e-06,5.5e-07,0.9819091415899097
E_field_data_1.1e-006 1e-006.mat,1.1e-06,1e-06,0.9683559226157539
E_field_data_1.2e-006 8e-007.mat,1.2e-06,8e-07,0.9755533594242053
E_field_data_1.2e-006 9e-007.mat,1.2e-06,9e-07,0.9738298866824001
E_field_data_1.1e-006 7.5e-007.mat,1.1e-06,7.5e-07,0.9677859150947347
E_field_data_1.35e-006 5e-007.mat,1.35e-06,5e-07,0.9823716967585878
E_field_data_1.35e-006 4e-007.mat,1.35e-06,4e-07,0.9855165994160134
E_field_data_1.15e-006 7.5e-007.mat,1.15e-06,7.5e-07,0.9704580546319544
E_field_data_1.3e-006 8.5e-007.mat,1.3e-06,8.5e-07,0.97757361845072
E_field_data_1.05e-006 4.5e-007.mat,1.05e-06,4.5e-07,0.9655038638645275
E_field_data_1.4e-006 7.5e-007.mat,1.4e-06,7.5e-07,0.9818118240995996
E_field_data_1.3e-006 5e-007.mat,1.3e-06,5e-07,0.9807857624217027
E_field_data_1.3e-006 4e-007.mat,1.3e-06,4e-07,0.9844975562044235
E_field_data_1.25e-006 5.5e-007.mat,1.25e-06,5.5e-07,0.9801485474506187
E_field_data_1.1e-006 6e-007.mat,1.1e-06,6e-07,0.9682725236769035
E_field_data_1.1e-006 7e-007.mat,1.1e-06,7e-07,0.9678472932567029
E_field_data_1.35e-006 6.5e-007.mat,1.35e-06,6.5e-07,0.9828192522812264
E_field_data_1e-006 7.5e-007.mat,1e-06,7.5e-07,0.9595913808020887
E_field_data_1.3e-006 8e-007.mat,1.3e-06,8e-07,0.9802136894280439
E_field_data_1.3e-006 9e-007.mat,1.3e-06,9e-07,0.9783719575563725
E_field_data_1.05e-006 7e-007.mat,1.05e-06,7e-07,0.9632586673135108
E_field_data_1.05e-006 6e-007.mat,1.05e-06,6e-07,0.9644377727725281
E_field_data_1.2e-006 7.5e-007.mat,1.2e-06,7.5e-07,0.9739220451299727
E_field_data_1.25e-006 8.5e-007.mat,1.25e-06,8.5e-07,0.9760774273694925
E_field_data_1e-006 4e-007.mat,1e-06,4e-07,0.9783981070515496
E_field_data_1e-006 5e-007.mat,1e-06,5e-07,0.9607238767227372
E_field_data_1.2e-006 5e-007.mat,1.2e-06,5e-07,0.9750333601251432
