File,Width (m),Thickness (m),Confinement Factor (1D Y)
E_field_data_1.2e-006 4e-007.mat,1.2e-06,4e-07,0.9790880487334114
E_field_data_1.35e-006 8e-007.mat,1.35e-06,8e-07,0.9816162936536827
E_field_data_1.35e-006 9e-007.mat,1.35e-06,9e-07,0.97966872601616
E_field_data_1.25e-006 4e-007.mat,1.25e-06,4e-07,0.982065249883758
E_field_data_1.25e-006 5e-007.mat,1.25e-06,5e-07,0.9778038560300031
E_field_data_1.4e-006 8.5e-007.mat,1.4e-06,8.5e-07,0.9816873302149774
E_field_data_1.1e-006 5.5e-007.mat,1.1e-06,5.5e-07,0.9715094199083789
E_field_data_1.15e-006 8.5e-007.mat,1.15e-06,8.5e-07,0.9702868691263656
E_field_data_1.15e-006 1e-006.mat,1.15e-06,1e-06,0.9698655808816424
E_field_data_1.3e-006 7.5e-007.mat,1.3e-06,7.5e-07,0.9782450527512038
E_field_data_1.1e-006 8.5e-007.mat,1.1e-06,8.5e-07,0.9681047041704356
E_field_data_1.4e-006 5.5e-007.mat,1.4e-06,5.5e-07,0.9857227970516329
E_field_data_1.4e-006 9e-007.mat,1.4e-06,9e-07,0.9815058172587252
E_field_data_1.4e-006 8e-007.mat,1.4e-06,8e-07,0.9833659614193554
E_field_data_1.15e-006 5.5e-007.mat,1.15e-06,5.5e-07,0.974619260643789
E_field_data_1.05e-006 6.5e-007.mat,1.05e-06,6.5e-07,0.967334720161738
E_field_data_1.1e-006 8e-007.mat,1.1e-06,8e-07,0.9693057374508404
E_field_data_1.1e-006 9e-007.mat,1.1e-06,9e-07,0.9677714205559448
E_field_data_1.3e-006 4.5e-007.mat,1.3e-06,4.5e-07,0.9802875525471028
E_field_data_1.2e-006 1e-006.mat,1.2e-06,1e-06,0.9738523348335496
E_field_data_1.05e-006 8.5e-007.mat,1.05e-06,8.5e-07,0.9633106883955369
E_field_data_1.05e-006 9e-007.mat,1.05e-06,9e-07,0.9640318335863008
E_field_data_1.05e-006 8e-007.mat,1.05e-06,8e-07,0.9671220269809433
E_field_data_1.1e-006 6.5e-007.mat,1.1e-06,6.5e-07,0.9701309966396553
E_field_data_1e-006 1e-006.mat,1e-06,1e-06,0.9604077229906984
E_field_data_1.3e-006 6e-007.mat,1.3e-06,6e-07,0.9790917329852019
E_field_data_1.3e-006 7e-007.mat,1.3e-06,7e-07,0.9783537935966277
E_field_data_1.05e-006 5.5e-007.mat,1.05e-06,5.5e-07,0.9675929493917121
E_field_data_1.15e-006 6.5e-007.mat,1.15e-06,6.5e-07,0.9735653344873639
E_field_data_1.3e-006 9.5e-007.mat,1.3e-06,9.5e-07,0.9795682384274753
E_field_data_1.4e-006 6.5e-007.mat,1.4e-06,6.5e-07,0.9845183919017854
E_field_data_1.35e-006 6e-007.mat,1.35e-06,6e-07,0.9814840104968483
E_field_data_1.35e-006 7e-007.mat,1.35e-06,7e-07,0.9804208974529721
E_field_data_1.2e-006 4.5e-007.mat,1.2e-06,4.5e-07,0.9765135514421517
E_field_data_1e-006 4.5e-007.mat,1e-06,4.5e-07,0.9611998767446511
E_field_data_1.35e-006 5.5e-007.mat,1.35e-06,5.5e-07,0.9838887272183598
E_field_data_1.25e-006 6.5e-007.mat,1.25e-06,6.5e-07,0.978608044314872
E_field_data_1.15e-006 5e-007.mat,1.15e-06,5e-07,0.9725474569493749
E_field_data_1.15e-006 4e-007.mat,1.15e-06,4e-07,0.9762369454431312
E_field_data_1e-006 9.5e-007.mat,1e-06,9.5e-07,0.9620782804016129
E_field_data_1.4e-006 7e-007.mat,1.4e-06,7e-07,0.9822335332737551
E_field_data_1.4e-006 6e-007.mat,1.4e-06,6e-07,0.9828285935605459
E_field_data_1.2e-006 9.5e-007.mat,1.2e-06,9.5e-07,0.9747109850602159
E_field_data_1.35e-006 8.5e-007.mat,1.35e-06,8.5e-07,0.9800955792763678
E_field_data_1.25e-006 1e-006.mat,1.25e-06,1e-06,0.9751914519716074
E_field_data_1.1e-006 4.5e-007.mat,1.1e-06,4.5e-07,0.9691835547603863
E_field_data_1.4e-006 9.5e-007.mat,1.4e-06,9.5e-07,0.9833364197633162
E_field_data_1.15e-006 8e-007.mat,1.15e-06,8e-07,0.9731058391599902
E_field_data_1.15e-006 9e-007.mat,1.15e-06,9e-07,0.9705392733980542
E_field_data_1.15e-006 9.5e-007.mat,1.15e-06,9.5e-07,0.9733109321166054
E_field_data_1.3e-006 6.5e-007.mat,1.3e-06,6.5e-07,0.9809683886605604
E_field_data_1.25e-006 7e-007.mat,1.25e-06,7e-07,0.9763522813224199
E_field_data_1.25e-006 6e-007.mat,1.25e-06,6e-07,0.9769028168029193
E_field_data_1.4e-006 4.5e-007.mat,1.4e-06,4.5e-07,0.9852533292990697
E_field_data_1.1e-006 9.5e-007.mat,1.1e-06,9.5e-07,0.9689631240467862
E_field_data_1.05e-006 7.5e-007.mat,1.05e-06,7.5e-07,0.9640090251981694
E_field_data_1.15e-006 4.5e-007.mat,1.15e-06,4.5e-07,0.9729701155340927
E_field_data_1.4e-006 1e-006.mat,1.4e-06,1e-06,0.980948175779012
E_field_data_1.3e-006 1e-006.mat,1.3e-06,1e-06,0.977883893747974
E_field_data_1.35e-006 7.5e-007.mat,1.35e-06,7.5e-07,0.9803489465017233
E_field_data_1.25e-006 4.5e-007.mat,1.25e-06,4.5e-07,0.9781714540114967
E_field_data_1e-006 7e-007.mat,1e-06,7e-07,0.9604999536113773
E_field_data_1e-006 6e-007.mat,1e-06,6e-07,0.959450355785427
E_field_data_1.2e-006 6e-007.mat,1.2e-06,6e-07,0.9743583196344583
E_field_data_1.2e-006 7e-007.mat,1.2e-06,7e-07,0.9735338598656706
E_field_data_1.2e-006 6.5e-007.mat,1.2e-06,6.5e-07,0.9765756903468065
E_field_data_1e-006 6.5e-007.mat,1e-06,6.5e-07,0.962161572880803
E_field_data_1.25e-006 9.5e-007.mat,1.25e-06,9.5e-07,0.9777936220893464
E_field_data_1.35e-006 1e-006.mat,1.35e-06,1e-06,0.979765387807288
E_field_data_1.1e-006 5e-007.mat,1.1e-06,5e-07,0.969059002805941
E_field_data_1.1e-006 4e-007.mat,1.1e-06,4e-07,0.9740654574009776
E_field_data_1.05e-006 4e-007.mat,1.05e-06,4e-07,0.9779975542911991
E_field_data_1.05e-006 5e-007.mat,1.05e-06,5e-07,0.96514516467432
