File,Width (m),Thickness (m),Confinement Factor (1D Z)
E_field_data_1.3e-006 9.5e-007.mat,1.3e-06,9.5e-07,0.811788708084199
E_field_data_1.4e-006 6.5e-007.mat,1.4e-06,6.5e-07,0.7471304231464473
E_field_data_1.35e-006 6e-007.mat,1.35e-06,6e-07,0.7407562645514744
E_field_data_1.35e-006 7e-007.mat,1.35e-06,7e-07,0.7691328101440501
E_field_data_1.2e-006 4.5e-007.mat,1.2e-06,4.5e-07,0.6818661418196197
E_field_data_1e-006 4.5e-007.mat,1e-06,4.5e-07,0.6817094518830812
E_field_data_1.35e-006 5.5e-007.mat,1.35e-06,5.5e-07,0.7142668119255791
E_field_data_1.25e-006 6.5e-007.mat,1.25e-06,6.5e-07,0.7470568546568714
E_field_data_1.15e-006 5e-007.mat,1.15e-06,5e-07,0.704436782778777
E_field_data_1.15e-006 4e-007.mat,1.15e-06,4e-07,0.6449838249995765
E_field_data_1e-006 9.5e-007.mat,1e-06,9.5e-07,0.8119536375455093
E_field_data_1.4e-006 7e-007.mat,1.4e-06,7e-07,0.7694593305765158
E_field_data_1.4e-006 6e-007.mat,1.4e-06,6e-07,0.7407364593125384
E_field_data_1.2e-006 9.5e-007.mat,1.2e-06,9.5e-07,0.811988561376155
E_field_data_1.35e-006 8.5e-007.mat,1.35e-06,8.5e-07,0.8018962693235149
E_field_data_1.25e-006 1e-006.mat,1.25e-06,1e-06,0.8264388035775451
E_field_data_1.1e-006 4.5e-007.mat,1.1e-06,4.5e-07,0.6816908437756934
E_field_data_1.4e-006 9.5e-007.mat,1.4e-06,9.5e-07,0.8119645401773369
E_field_data_1.15e-006 8e-007.mat,1.15e-06,8e-07,0.7841170532719521
E_field_data_1.15e-006 9e-007.mat,1.15e-06,9e-07,0.8108070125559023
E_field_data_1.15e-006 9.5e-007.mat,1.15e-06,9.5e-07,0.8119050977652652
E_field_data_1.3e-006 6.5e-007.mat,1.3e-06,6.5e-07,0.74708479310743
E_field_data_1.25e-006 7e-007.mat,1.25e-06,7e-07,0.7690538518001436
E_field_data_1.25e-006 6e-007.mat,1.25e-06,6e-07,0.741118101294282
E_field_data_1.4e-006 4.5e-007.mat,1.4e-06,4.5e-07,0.6818773891492285
E_field_data_1.1e-006 9.5e-007.mat,1.1e-06,9.5e-07,0.811954629841027
E_field_data_1.05e-006 7.5e-007.mat,1.05e-06,7.5e-07,0.7830650480045613
E_field_data_1.15e-006 4.5e-007.mat,1.15e-06,4.5e-07,0.68157694674814
E_field_data_1.4e-006 1e-006.mat,1.4e-06,1e-06,0.8264182957236313
E_field_data_1.3e-006 1e-006.mat,1.3e-06,1e-06,0.8264550239501552
E_field_data_1.35e-006 7.5e-007.mat,1.35e-06,7.5e-07,0.781314043062933
E_field_data_1.25e-006 4.5e-007.mat,1.25e-06,4.5e-07,0.6816299894713107
E_field_data_1e-006 7e-007.mat,1e-06,7e-07,0.7690751311113655
E_field_data_1e-006 6e-007.mat,1e-06,6e-07,0.7409234150662574
E_field_data_1.2e-006 6e-007.mat,1.2e-06,6e-07,0.7409933508599642
E_field_data_1.2e-006 7e-007.mat,1.2e-06,7e-07,0.7692830417318464
E_field_data_1.2e-006 6.5e-007.mat,1.2e-06,6.5e-07,0.7471537691529074
E_field_data_1e-006 6.5e-007.mat,1e-06,6.5e-07,0.7465950801676369
E_field_data_1.25e-006 9.5e-007.mat,1.25e-06,9.5e-07,0.8119890014638713
E_field_data_1.35e-006 1e-006.mat,1.35e-06,1e-06,0.8264351393690854
E_field_data_1.1e-006 5e-007.mat,1.1e-06,5e-07,0.7040677149597565
E_field_data_1.1e-006 4e-007.mat,1.1e-06,4e-07,0.6454162268359483
E_field_data_1.05e-006 4e-007.mat,1.05e-06,4e-07,0.6266630932671299
E_field_data_1.05e-006 5e-007.mat,1.05e-06,5e-07,0.7044217146124605
