File,Width (m),Thickness (m),Confinement Factor (1D Z)
E_field_data_1.19e-006 7.1e-007.mat,1.19e-06,7.1e-07,0.7635605290621512
E_field_data_1.19e-006 6.9e-007.mat,1.19e-06,6.9e-07,0.7666741415058973
E_field_data_1.25e-006 7.5e-007.mat,1.25e-06,7.5e-07,0.7812437554700831
E_field_data_1.17e-006 7.3e-007.mat,1.17e-06,7.3e-07,0.768469992683295
E_field_data_1.23e-006 7.3e-007.mat,1.23e-06,7.3e-07,0.7684254850191194
E_field_data_1.15e-006 6.7e-007.mat,1.15e-06,6.7e-07,0.7612009257849931
E_field_data_1.21e-006 6.7e-007.mat,1.21e-06,6.7e-07,0.7613445756719176
E_field_data_1.15e-006 7.5e-007.mat,1.15e-06,7.5e-07,0.7812384046998526
E_field_data_1.21e-006 7.5e-007.mat,1.21e-06,7.5e-07,0.7833651486018731
E_field_data_1.15e-006 7.3e-007.mat,1.15e-06,7.3e-07,0.7684209257993703
E_field_data_1.21e-006 7.3e-007.mat,1.21e-06,7.3e-07,0.7684467275152654
E_field_data_1.17e-006 6.7e-007.mat,1.17e-06,6.7e-07,0.7613447151698068
E_field_data_1.25e-006 7.3e-007.mat,1.25e-06,7.3e-07,0.7685069059198
E_field_data_1.17e-006 7.5e-007.mat,1.17e-06,7.5e-07,0.7809801526044137
E_field_data_1.19e-006 6.5e-007.mat,1.19e-06,6.5e-07,0.7471478465975608
E_field_data_1.23e-006 7.5e-007.mat,1.23e-06,7.5e-07,0.7813271286372708
E_field_data_1.15e-006 6.5e-007.mat,1.15e-06,6.5e-07,0.7303569890000804
E_field_data_1.21e-006 6.5e-007.mat,1.21e-06,6.5e-07,0.7471510347164149
E_field_data_1.17e-006 6.9e-007.mat,1.17e-06,6.9e-07,0.7667697040109398
E_field_data_1.17e-006 7.1e-007.mat,1.17e-06,7.1e-07,0.7634040976039108
E_field_data_1.23e-006 7.1e-007.mat,1.23e-06,7.1e-07,0.7473540997321034
E_field_data_1.19e-006 7.3e-007.mat,1.19e-06,7.3e-07,0.7676638302881851
E_field_data_1.19e-006 6.7e-007.mat,1.19e-06,6.7e-07,0.7613439408912754
E_field_data_1.17e-006 6.5e-007.mat,1.17e-06,6.5e-07,0.7471148864923136
E_field_data_1.19e-006 7.5e-007.mat,1.19e-06,7.5e-07,0.7894939563234441
E_field_data_1.25e-006 7.1e-007.mat,1.25e-06,7.1e-07,0.7634393095326396
E_field_data_1.15e-006 6.9e-007.mat,1.15e-06,6.9e-07,0.7666778713723323
E_field_data_1.15e-006 7.1e-007.mat,1.15e-06,7.1e-07,0.7634194107923115
E_field_data_1.21e-006 6.9e-007.mat,1.21e-06,6.9e-07,0.7666815163332104
E_field_data_1.21e-006 7.1e-007.mat,1.21e-06,7.1e-07,0.7416580612844201
