Wavelength(um),R_with,R_without
0.593155,0.0329963,0.0346836
0.594155,0.031528,0.034686
0.595156,0.0300829,0.0346882
0.596157,0.0286628,0.0346905
0.597158,0.0272692,0.0346927
0.598159,0.0259037,0.0346949
0.599159,0.024568,0.0346971
0.60016,0.0232635,0.0346993
0.601161,0.0219917,0.0347015
0.602162,0.0207542,0.0347037
0.603163,0.0195523,0.0347061
0.604163,0.0183873,0.0347084
0.605164,0.0172604,0.0347109
0.606165,0.0161728,0.0347134
0.607166,0.0151254,0.034716
0.608167,0.0141193,0.0347187
0.609167,0.0131553,0.0347215
0.610168,0.0122341,0.0347244
0.611169,0.0113563,0.0347274
0.61217,0.0105224,0.0347306
0.613171,0.00973282,0.0347338
0.614171,0.0089879,0.0347372
0.615172,0.0082878,0.0347408
0.616173,0.00763263,0.0347445
0.617174,0.0070224,0.0347483
0.618175,0.00645701,0.0347523
0.619175,0.00593631,0.0347564
0.620176,0.00546004,0.0347606
0.621177,0.00502791,0.0347651
0.622178,0.00463951,0.0347696
0.623179,0.00429443,0.0347744
0.624179,0.00399217,0.0347793
0.62518,0.00373219,0.0347843
0.626181,0.00351393,0.0347895
0.627182,0.00333679,0.0347948
0.628183,0.00320014,0.0348003
0.629183,0.00310332,0.034806
0.630184,0.00304569,0.0348117
0.631185,0.00302656,0.0348177
0.632186,0.00304527,0.0348238
0.633187,0.00310114,0.03483
0.634187,0.00319348,0.0348363
0.635188,0.00332165,0.0348428
0.636189,0.00348497,0.0348495
0.63719,0.0036828,0.0348562
0.638191,0.00391451,0.0348631
0.639191,0.00417946,0.0348701
0.640192,0.00447705,0.0348772
0.641193,0.00480669,0.0348844
0.642194,0.00516779,0.0348917
0.643195,0.00555979,0.0348991
0.644195,0.00598211,0.0349067
0.645196,0.00643423,0.0349143
0.646197,0.00691559,0.034922
0.647198,0.00742567,0.0349297
0.648199,0.00796395,0.0349376
0.649199,0.00852988,0.0349455
0.6502,0.00912296,0.0349535
0.651201,0.00974266,0.0349616
0.652202,0.0103884,0.0349697
0.653203,0.0110598,0.0349778
0.654203,0.0117561,0.034986
0.655204,0.0124769,0.0349942
0.656205,0.0132215,0.0350025
0.657206,0.0139894,0.0350108
0.658207,0.01478,0.0350191
0.659207,0.0155927,0.0350274
0.660208,0.0164268,0.0350358
0.661209,0.0172816,0.0350441
0.66221,0.0181564,0.0350524
