wl,n,k
0.528,4.680075,2.039394
0.529,4.6742,2.025437
0.53,4.668012,2.012071
0.531,4.661551,1.999291
0.532,4.65485,1.987093
0.533,4.647945,1.975469
0.534,4.640868,1.964411
0.535,4.633648,1.953908
0.536,4.626313,1.943951
0.537,4.61889,1.934526
0.538,4.611402,1.925621
0.539,4.603873,1.917223
0.54,4.596323,1.909318
0.541,4.588772,1.901891
0.542,4.581237,1.894928
0.543,4.573735,1.888415
0.544,4.56628,1.882338
0.545,4.558886,1.876681
0.546,4.551566,1.87143
0.547,4.544331,1.866571
0.548,4.537191,1.86209
0.549,4.530155,1.857974
0.55,4.523232,1.854208
0.551,4.51643,1.850779
0.552,4.509755,1.847674
0.553,4.503214,1.844882
0.554,4.496811,1.842389
0.555,4.490552,1.840183
0.556,4.484441,1.838253
0.557,4.478481,1.836587
0.558,4.472676,1.835175
0.559,4.467028,1.834006
0.56,4.46154,1.83307
0.561,4.456215,1.832356
0.562,4.451053,1.831855
0.563,4.446056,1.831558
0.564,4.441225,1.831456
0.565,4.436562,1.83154
0.566,4.432066,1.831802
0.567,4.427738,1.832233
0.568,4.423578,1.832826
0.569,4.419586,1.833573
0.57,4.415763,1.834467
0.571,4.412107,1.8355
0.572,4.408618,1.836666
0.573,4.405296,1.837958
0.574,4.402141,1.83937
0.575,4.39915,1.840896
0.576,4.396324,1.842529
0.577,4.393661,1.844264
0.578,4.391161,1.846095
0.579,4.388822,1.848016
0.58,4.386642,1.850023
0.581,4.384622,1.85211
0.582,4.382759,1.854272
0.583,4.381052,1.856505
0.584,4.3795,1.858804
0.585,4.378101,1.861163
0.586,4.376853,1.86358
0.587,4.375756,1.86605
0.588,4.374807,1.868568
0.589,4.374004,1.87113
0.59,4.373347,1.873733
0.591,4.372834,1.876373
0.592,4.372462,1.879045
0.593,4.37223,1.881748
0.594,4.372136,1.884476
0.595,4.372178,1.887227
0.596,4.372355,1.889998
0.597,4.372664,1.892785
0.598,4.373104,1.895585
0.599,4.373672,1.898395
0.6,4.374367,1.901212
0.601,4.375186,1.904033
0.602,4.376128,1.906857
0.603,4.37719,1.909679
0.604,4.37837,1.912497
0.605,4.379666,1.91531
0.606,4.381076,1.918114
0.607,4.382598,1.920908
0.608,4.384229,1.923688
0.609,4.385967,1.926454
0.61,4.38781,1.929202
0.611,4.389755,1.931931
0.612,4.3918,1.93464
0.613,4.393942,1.937325
0.614,4.39618,1.939987
0.615,4.39851,1.942622
0.616,4.40093,1.945231
0.617,4.403438,1.94781
0.618,4.40603,1.95036
0.619,4.408705,1.952879
0.62,4.41146,1.955365
0.621,4.414291,1.957819
0.622,4.417197,1.960239
0.623,4.420175,1.962625
0.624,4.423221,1.964976
0.625,4.426334,1.967292
0.626,4.429511,1.969572
0.627,4.432748,1.971817
0.628,4.436044,1.974026
0.629,4.439395,1.9762
0.63,4.4428,1.97834
0.631,4.446254,1.980445
0.632,4.449757,1.982516
0.633,4.453304,1.984555
0.634,4.456895,1.986562
0.635,4.460526,1.988539
0.636,4.464194,1.990487
0.637,4.467899,1.992407
0.638,4.471637,1.994302
0.639,4.475408,1.996172
0.64,4.479208,1.998021
0.641,4.483036,1.999851
0.642,4.486891,2.001664
0.643,4.490771,2.003463
0.644,4.494675,2.00525
0.645,4.498603,2.007028
0.646,4.502552,2.008801
0.647,4.506522,2.010571
0.648,4.510514,2.012343
0.649,4.514527,2.01412
0.65,4.518561,2.015905
0.651,4.522617,2.017703
0.652,4.526696,2.019518
0.653,4.5308,2.021354
0.654,4.534929,2.023214
0.655,4.539087,2.025103
0.656,4.543276,2.027025
0.657,4.547498,2.028983
0.658,4.551757,2.030983
0.659,4.556057,2.033028
0.66,4.560403,2.035121
0.661,4.564798,2.037267
0.662,4.569249,2.039469
0.663,4.573761,2.04173
0.664,4.57834,2.044053
0.665,4.582994,2.046441
0.666,4.587729,2.048897
0.667,4.592552,2.051421
0.668,4.597474,2.054016
0.669,4.602501,2.056683
0.67,4.607644,2.059422
0.671,4.612911,2.062234
0.672,4.618313,2.065117
0.673,4.623861,2.068071
0.674,4.629566,2.071093
0.675,4.635438,2.07418
0.676,4.64149,2.07733
0.677,4.647735,2.080538
0.678,4.654185,2.083798
0.679,4.660853,2.087105
0.68,4.667755,2.090452
0.681,4.674905,2.093829
0.682,4.682319,2.097227
0.683,4.690017,2.100636
0.684,4.698018,2.104041
0.685,4.706348,2.107428
0.686,4.715042,2.110774
0.687,4.724165,2.114045
0.688,4.733754,2.117059
0.689,4.743654,2.119752
0.69,4.753807,2.122145
0.691,4.764181,2.124245
0.692,4.774753,2.126055
0.693,4.785504,2.127579
0.694,4.796418,2.128816
0.695,4.80748,2.129767
0.696,4.818676,2.130432
0.697,4.829995,2.130809
0.698,4.841425,2.130899
0.699,4.852954,2.1307
0.7,4.86457,2.13021
0.701,4.876265,2.12943
0.702,4.888026,2.128359
0.703,4.899844,2.126995
0.704,4.911708,2.125337
0.705,4.923608,2.123386
0.706,4.935534,2.121141
0.707,4.947475,2.118602
0.708,4.959423,2.115769
0.709,4.971365,2.112642
0.71,4.983293,2.109222
0.711,4.995197,2.105509
0.712,5.007066,2.101505
0.713,5.018891,2.097212
0.714,5.030661,2.09263
0.715,5.042367,2.087762
0.716,5.053999,2.08261
0.717,5.065547,2.077177
0.718,5.077001,2.071466
0.719,5.088351,2.065481
0.72,5.099589,2.059224
0.721,5.110705,2.0527
0.722,5.121689,2.045913
0.723,5.132533,2.038869
0.724,5.143227,2.031572
0.725,5.153763,2.024027
0.726,5.164131,2.016241
0.727,5.174325,2.008219
0.728,5.184334,1.999968
0.729,5.194153,1.991495
0.73,5.203772,1.982807
0.731,5.213185,1.973911
0.732,5.222385,1.964815
0.733,5.231365,1.955527
0.734,5.240118,1.946055
0.735,5.248638,1.936408
0.736,5.256921,1.926594
0.737,5.264959,1.916623
0.738,5.27275,1.906504
0.739,5.280287,1.896245
0.74,5.287567,1.885858
0.741,5.294586,1.87535
0.742,5.301341,1.864733
0.743,5.307829,1.854016
0.744,5.314047,1.843209
0.745,5.319994,1.832323
0.746,5.325668,1.821367
0.747,5.331067,1.810351
0.748,5.336192,1.799286
0.749,5.341042,1.788183
