Wavelength(um),R_with,R_without
0.595156,0.0706541,0.0346882
0.596157,0.0688015,0.0346905
0.597158,0.0669396,0.0346927
0.598159,0.0650649,0.0346949
0.599159,0.0631748,0.0346971
0.60016,0.0612676,0.0346993
0.601161,0.0593428,0.0347015
0.602162,0.0574003,0.0347037
0.603163,0.0554413,0.0347061
0.604163,0.0534675,0.0347084
0.605164,0.0514813,0.0347109
0.606165,0.0494858,0.0347134
0.607166,0.0474846,0.034716
0.608167,0.0454819,0.0347187
0.609167,0.0434818,0.0347215
0.610168,0.0414892,0.0347244
0.611169,0.0395087,0.0347274
0.61217,0.0375453,0.0347306
0.613171,0.0356038,0.0347338
0.614171,0.0336889,0.0347372
0.615172,0.0318052,0.0347408
0.616173,0.0299572,0.0347445
0.617174,0.0281489,0.0347483
0.618175,0.0263841,0.0347523
0.619175,0.0246663,0.0347564
0.620176,0.0229985,0.0347606
0.621177,0.0213835,0.0347651
0.622178,0.0198236,0.0347696
0.623179,0.0183207,0.0347744
0.624179,0.0168764,0.0347793
0.62518,0.015492,0.0347843
0.626181,0.0141683,0.0347895
0.627182,0.012906,0.0347948
0.628183,0.0117054,0.0348003
0.629183,0.0105666,0.034806
0.630184,0.00948947,0.0348117
0.631185,0.00847382,0.0348177
0.632186,0.0075192,0.0348238
0.633187,0.00662511,0.03483
0.634187,0.00579098,0.0348363
0.635188,0.00501617,0.0348428
0.636189,0.00430003,0.0348495
0.63719,0.00364193,0.0348562
0.638191,0.00304121,0.0348631
0.639191,0.00249727,0.0348701
0.640192,0.00200955,0.0348772
0.641193,0.0015775,0.0348844
0.642194,0.00120064,0.0348917
0.643195,0.000878531,0.0348991
0.644195,0.000610751,0.0349067
0.645196,0.000396924,0.0349143
0.646197,0.000236687,0.034922
0.647198,0.000129685,0.0349297
0.648199,7.55611E-05,0.0349376
0.649199,7.39389E-05,0.0349455
0.6502,0.000124412,0.0349535
0.651201,0.000226529,0.0349616
0.652202,0.000379783,0.0349697
0.653203,0.000583601,0.0349778
0.654203,0.000837329,0.034986
0.655204,0.00114023,0.0349942
0.656205,0.00149148,0.0350025
0.657206,0.00189015,0.0350108
0.658207,0.00233521,0.0350191
0.659207,0.00282556,0.0350274
0.660208,0.00335998,0.0350358
0.661209,0.00393717,0.0350441
0.66221,0.00455576,0.0350524
0.663211,0.0052143,0.0350607
0.664211,0.00591129,0.0350691
0.665212,0.00664516,0.0350774
0.666213,0.00741434,0.0350856
0.667214,0.00821724,0.0350939
0.668215,0.00905226,0.0351021
0.669215,0.00991781,0.0351102
0.670216,0.0108124,0.0351183
0.671217,0.0117344,0.0351264
0.672218,0.0126825,0.0351344
0.673219,0.0136554,0.0351424
