# wavelength(um), Re_sigma(S), Im_sigma(S)
4.540000000000000147e-01,5.396129071314623637e-04,-1.914901632408838345e-04
4.550000000000000155e-01,5.389824420789074682e-04,-1.925470287165283938e-04
4.560000000000000164e-01,5.384098425350054146e-04,-1.935599317731480807e-04
4.570000000000000173e-01,5.379002939638107689e-04,-1.945344574998759328e-04
4.580000000000000182e-01,5.374591436048827648e-04,-1.954769112606908037e-04
4.590000000000000191e-01,5.370908881779011762e-04,-1.963932378538859214e-04
4.600000000000000200e-01,5.367997923664671661e-04,-1.972903676715021882e-04
4.610000000000000209e-01,5.365897565603608768e-04,-1.981760104028631357e-04
4.620000000000000218e-01,5.364636491016133235e-04,-1.990576436495757918e-04
4.630000000000000226e-01,5.364247926602324539e-04,-1.999438597006069880e-04
4.640000000000000235e-01,5.364748175685196121e-04,-2.008428859383999112e-04
4.650000000000000244e-01,5.366152791641812985e-04,-2.017641334838695213e-04
4.660000000000000253e-01,5.368474609473517043e-04,-2.027165897307924133e-04
4.670000000000000262e-01,5.371712343527407967e-04,-2.037101619435868359e-04
4.680000000000000271e-01,5.375859348495194484e-04,-2.047548115438226470e-04
4.689999999999999725e-01,5.380903620321957461e-04,-2.058605609168180498e-04
4.699999999999999734e-01,5.386818389311421673e-04,-2.070378296165680193e-04
4.709999999999999742e-01,5.393574820530801445e-04,-2.082971782955359160e-04
4.719999999999999751e-01,5.401131234187085727e-04,-2.096494426684490273e-04
4.729999999999999760e-01,5.409433095450296922e-04,-2.111048667545425864e-04
4.739999999999999769e-01,5.418419546964758915e-04,-2.126741150251796654e-04
4.749999999999999778e-01,5.428017999328483504e-04,-2.143674670514199483e-04
4.759999999999999787e-01,5.438141986540972897e-04,-2.161949479702117796e-04
4.769999999999999796e-01,5.448696386555340740e-04,-2.181662629671716634e-04
4.779999999999999805e-01,5.459570583786778862e-04,-2.202906491066306894e-04
4.789999999999999813e-01,5.470643084798463684e-04,-2.225762655877852082e-04
4.799999999999999822e-01,5.481783293193624382e-04,-2.250309196951391156e-04
4.809999999999999831e-01,5.492846116959581356e-04,-2.276612353358131345e-04
4.819999999999999840e-01,5.503677250662474506e-04,-2.304725694183927119e-04
4.829999999999999849e-01,5.514109021415939662e-04,-2.334692452094816906e-04
4.839999999999999858e-01,5.523969271028827737e-04,-2.366536634173186922e-04
4.849999999999999867e-01,5.533069112756862492e-04,-2.400270474822997465e-04
4.859999999999999876e-01,5.541226119468836741e-04,-2.435885172817102635e-04
4.869999999999999885e-01,5.548239553707841895e-04,-2.473351911884933709e-04
4.879999999999999893e-01,5.553920257707740081e-04,-2.512622946856743348e-04
4.889999999999999902e-01,5.558065472977482971e-04,-2.553627140744972580e-04
4.899999999999999911e-01,5.560485606204842394e-04,-2.596270454995781851e-04
4.909999999999999920e-01,5.560990559096467070e-04,-2.640435923219851266e-04
4.919999999999999929e-01,5.559404978677251214e-04,-2.685988776616549329e-04
4.929999999999999938e-01,5.555560055789056286e-04,-2.732761808395776102e-04
4.939999999999999947e-01,5.549306025984419855e-04,-2.780579657155668786e-04
4.949999999999999956e-01,5.540511156725541749e-04,-2.829237262453128312e-04
4.959999999999999964e-01,5.529063711813903470e-04,-2.878516530770279958e-04
4.969999999999999973e-01,5.514874656746565238e-04,-2.928185552720078181e-04
4.979999999999999982e-01,5.497884010542963829e-04,-2.978004319949416378e-04
4.989999999999999991e-01,5.478054315960004250e-04,-3.027718214036834252e-04
5.000000000000000000e-01,5.455380734950063390e-04,-3.077075756291887377e-04
5.010000000000000009e-01,5.429885165348084146e-04,-3.125818908904612640e-04
5.020000000000000018e-01,5.401620188825828443e-04,-3.173695833111239749e-04
5.030000000000000027e-01,5.370661510446047724e-04,-3.220468666402074459e-04
5.040000000000000036e-01,5.337116928327726795e-04,-3.265900937367098296e-04
5.050000000000000044e-01,5.301112517415654127e-04,-3.309779608811841758e-04
5.060000000000000053e-01,5.262803490996042144e-04,-3.351901269359486985e-04
5.070000000000000062e-01,5.222354409431661116e-04,-3.392088496994557839e-04
5.080000000000000071e-01,5.179953349056455776e-04,-3.430182314630918043e-04
5.090000000000000080e-01,5.135799273250608258e-04,-3.466051467777751479e-04
5.100000000000000089e-01,5.090099946088141912e-04,-3.499585004200585670e-04
5.110000000000000098e-01,5.043062556528390061e-04,-3.530696640825287309e-04
5.120000000000000107e-01,4.994905760995975007e-04,-3.559328824890937840e-04
5.130000000000000115e-01,4.945842748474984455e-04,-3.585441833340239346e-04
5.140000000000000124e-01,4.896082780180625567e-04,-3.609017663361041724e-04
5.150000000000000133e-01,4.845831534427198122e-04,-3.630067009409824216e-04
5.160000000000000142e-01,4.795285405293115842e-04,-3.648612714926355717e-04
5.170000000000000151e-01,4.744627987824175282e-04,-3.664693424735957243e-04
5.180000000000000160e-01,4.694035955530380020e-04,-3.678370456343009530e-04
5.190000000000000169e-01,4.643669639805206436e-04,-3.689713280953366538e-04
5.200000000000000178e-01,4.593682355201359835e-04,-3.698802364362253643e-04
5.210000000000000187e-01,4.544206829673969137e-04,-3.705727183232811217e-04
5.220000000000000195e-01,4.495363627303651673e-04,-3.710586924709361801e-04
5.230000000000000204e-01,4.447265624682942686e-04,-3.713482932452083041e-04
5.240000000000000213e-01,4.400005562289818891e-04,-3.714524023817707870e-04
5.250000000000000222e-01,4.353667030077683375e-04,-3.713816196573749458e-04
5.260000000000000231e-01,4.308318224970138655e-04,-3.711470281137408300e-04
5.270000000000000240e-01,4.264022623624438781e-04,-3.707596997556762198e-04
5.280000000000000249e-01,4.220825179162469463e-04,-3.702303033618611688e-04
5.290000000000000258e-01,4.178762563925947859e-04,-3.695696410786213255e-04
5.300000000000000266e-01,4.137868957869042063e-04,-3.687876588600704289e-04
5.310000000000000275e-01,4.098163367612369192e-04,-3.678949784643751816e-04
5.320000000000000284e-01,4.059659310955495586e-04,-3.669005332410298103e-04
5.330000000000000293e-01,4.022363612530231985e-04,-3.658140627989514820e-04
5.340000000000000302e-01,3.986278647799455462e-04,-3.646443248834700755e-04
5.350000000000000311e-01,3.951397358190646678e-04,-3.633995679756030000e-04
5.360000000000000320e-01,3.917715306183214307e-04,-3.620875137624750858e-04
5.370000000000000329e-01,3.885216656065143656e-04,-3.607159575720992554e-04
5.380000000000000338e-01,3.853885952553329436e-04,-3.592915751198950394e-04
5.390000000000000346e-01,3.823706392872899752e-04,-3.578211917275241852e-04
5.400000000000000355e-01,3.794655764432928384e-04,-3.563107860115867997e-04
5.410000000000000364e-01,3.766709912088562692e-04,-3.547662973318018234e-04
5.420000000000000373e-01,3.739844313022272254e-04,-3.531928721394468726e-04
5.430000000000000382e-01,3.714034615266110042e-04,-3.515955518557045906e-04
5.440000000000000391e-01,3.689254244202261595e-04,-3.499786887821664774e-04
5.450000000000000400e-01,3.665472994823464189e-04,-3.483467068881096538e-04
5.460000000000000409e-01,3.642664104261828114e-04,-3.467035870306405324e-04
5.470000000000000417e-01,3.620799543405793411e-04,-3.450528432171636709e-04
5.480000000000000426e-01,3.599850858254995426e-04,-3.433977260550631909e-04
5.490000000000000435e-01,3.579791121885661314e-04,-3.417411503408736002e-04
5.500000000000000444e-01,3.560589950027022725e-04,-3.400861311923812007e-04
5.510000000000000453e-01,3.542220440287092379e-04,-3.384352789648570684e-04
5.520000000000000462e-01,3.524654527748973215e-04,-3.367907738140478381e-04
5.530000000000000471e-01,3.507869151300902627e-04,-3.351547892112051734e-04
5.540000000000000480e-01,3.491833594715761839e-04,-3.335291239200636072e-04
5.550000000000000488e-01,3.476522928769513131e-04,-3.319157672786110448e-04
5.560000000000000497e-01,3.461912950895766139e-04,-3.303162215756701246e-04
5.570000000000000506e-01,3.447977187967497001e-04,-3.287318527707502490e-04
5.580000000000000515e-01,3.434694079989745585e-04,-3.271640380702395745e-04
5.590000000000000524e-01,3.422039009863215913e-04,-3.256138366756519795e-04
5.600000000000000533e-01,3.409990357073529061e-04,-3.240824012326134910e-04
5.610000000000000542e-01,3.398524981048890118e-04,-3.225709443138863601e-04
5.620000000000000551e-01,3.387621506141251689e-04,-3.210799558201235093e-04
5.629999999999999449e-01,3.377260392470802478e-04,-3.196102877072987515e-04
5.639999999999999458e-01,3.367421638498480324e-04,-3.181625979557716291e-04
5.649999999999999467e-01,3.358086294236306145e-04,-3.167377208249335828e-04
5.659999999999999476e-01,3.349235252754418951e-04,-3.153358582232977420e-04
5.669999999999999485e-01,3.340849361113668167e-04,-3.139576512737047957e-04
5.679999999999999494e-01,3.332912620608113560e-04,-3.126034037924650157e-04
5.689999999999999503e-01,3.325407447153296979e-04,-3.112734935326637244e-04
5.699999999999999512e-01,3.318319057425815101e-04,-3.099684027663710201e-04
5.709999999999999520e-01,3.311628822748121531e-04,-3.086881453327933763e-04
5.719999999999999529e-01,3.305323446027652406e-04,-3.074329484791273851e-04
5.729999999999999538e-01,3.299388017102287463e-04,-3.062031150829331010e-04
5.739999999999999547e-01,3.293809610586624962e-04,-3.049988739520963026e-04
5.749999999999999556e-01,3.288573228757561868e-04,-3.038199193426203005e-04
5.759999999999999565e-01,3.283665251778428032e-04,-3.026667397984081267e-04
5.769999999999999574e-01,3.279073549618816141e-04,-3.015391410493488238e-04
5.779999999999999583e-01,3.274785850868599537e-04,-3.004373637319777751e-04
5.789999999999999591e-01,3.270788541233221602e-04,-2.993612966655713361e-04
5.799999999999999600e-01,3.267071684580010490e-04,-2.983106852235807116e-04
5.809999999999999609e-01,3.263624163158788147e-04,-2.972859581778015850e-04
5.819999999999999618e-01,3.260433772589289934e-04,-2.962867675695108152e-04
5.829999999999999627e-01,3.257491667592948099e-04,-2.953130493204932290e-04
5.839999999999999636e-01,3.254787346941774334e-04,-2.943648181151392487e-04
5.849999999999999645e-01,3.252307924785585529e-04,-2.934419925005157174e-04
5.859999999999999654e-01,3.250047607797701215e-04,-2.925441996227612970e-04
5.869999999999999662e-01,3.247996922471417351e-04,-2.916716434653917212e-04
5.879999999999999671e-01,3.246144262099905651e-04,-2.908240097744770915e-04
5.889999999999999680e-01,3.244480587687859205e-04,-2.900010904450280578e-04
5.899999999999999689e-01,3.243000148130264788e-04,-2.892029549691928214e-04
5.909999999999999698e-01,3.241694038606968034e-04,-2.884294045248669315e-04
5.919999999999999707e-01,3.240550956799520392e-04,-2.876801474187905099e-04
5.929999999999999716e-01,3.239568046409887396e-04,-2.869549463911047699e-04
5.939999999999999725e-01,3.238733142898718182e-04,-2.862537669677603911e-04
5.949999999999999734e-01,3.238041027714169923e-04,-2.855762834421236179e-04
5.959999999999999742e-01,3.237485543667181710e-04,-2.849224206120893276e-04
5.969999999999999751e-01,3.237057385530200428e-04,-2.842918391369047572e-04
5.979999999999999760e-01,3.236750488554846470e-04,-2.836844730678086436e-04
5.989999999999999769e-01,3.236557346351460682e-04,-2.830999191531638265e-04
5.999999999999999778e-01,3.236471969860170027e-04,-2.825381202693373877e-04
6.009999999999999787e-01,3.236486925165970208e-04,-2.819986827990035279e-04
6.019999999999999796e-01,3.236599686167087177e-04,-2.814814100361222272e-04
6.029999999999999805e-01,3.236799479921566194e-04,-2.809860654360033460e-04
6.039999999999999813e-01,3.237081400559839797e-04,-2.805123648663681440e-04
6.049999999999999822e-01,3.237442251686700008e-04,-2.800599542885499654e-04
6.059999999999999831e-01,3.237873781927038471e-04,-2.796287053236040199e-04
6.069999999999999840e-01,3.238372832514297404e-04,-2.792182715660069549e-04
6.079999999999999849e-01,3.238930462136544418e-04,-2.788283635624265368e-04
6.089999999999999858e-01,3.239545227271009120e-04,-2.784585688037762518e-04
6.099999999999999867e-01,3.240208963691883519e-04,-2.781087736455925227e-04
6.109999999999999876e-01,3.240917831288233839e-04,-2.777784783095278449e-04
6.119999999999999885e-01,3.241668733304042772e-04,-2.774673545436133178e-04
6.129999999999999893e-01,3.242452818332238829e-04,-2.771751311550488457e-04
6.139999999999999902e-01,3.243271096774862365e-04,-2.769015058975683274e-04
6.149999999999999911e-01,3.244114004213108360e-04,-2.766460465260804809e-04
6.159999999999999920e-01,3.244981818324130544e-04,-2.764082896679141265e-04
6.169999999999999929e-01,3.245866473235104127e-04,-2.761881432424256443e-04
6.179999999999999938e-01,3.246766776291738895e-04,-2.759848159779187027e-04
6.189999999999999947e-01,3.247678746294804428e-04,-2.757982403955444041e-04
6.199999999999999956e-01,3.248596937366388148e-04,-2.756280182130082883e-04
6.209999999999999964e-01,3.249520156458331416e-04,-2.754733670231569666e-04
6.219999999999999973e-01,3.250444435096287894e-04,-2.753342261524131655e-04
6.229999999999999982e-01,3.251367654436035327e-04,-2.752100576764355297e-04
6.239999999999999991e-01,3.252285302526468011e-04,-2.751002342653911760e-04
6.250000000000000000e-01,3.253196730835705621e-04,-2.750045541354430691e-04
6.260000000000000009e-01,3.254098164779089110e-04,-2.749225597248337915e-04
6.270000000000000018e-01,3.254988400959863944e-04,-2.748534837043477676e-04
6.280000000000000027e-01,3.255865133436130023e-04,-2.747972032504861759e-04
6.290000000000000036e-01,3.256727153203001126e-04,-2.747529552979543089e-04
6.300000000000000044e-01,3.257575446256872460e-04,-2.747204735172949263e-04
6.310000000000000053e-01,3.258404768121797839e-04,-2.746989810961026116e-04
6.320000000000000062e-01,3.259216833163104481e-04,-2.746883795493212086e-04
6.330000000000000071e-01,3.260011328834799067e-04,-2.746876762934418424e-04
6.340000000000000080e-01,3.260788311990164530e-04,-2.746968489435629634e-04
6.350000000000000089e-01,3.261548191556722705e-04,-2.747150730464117756e-04
6.360000000000000098e-01,3.262290461972989532e-04,-2.747417636761970454e-04
6.370000000000000107e-01,3.263016806182625199e-04,-2.747768290630983514e-04
6.380000000000000115e-01,3.263729253262920554e-04,-2.748193772079738262e-04
6.390000000000000124e-01,3.264427834568972607e-04,-2.748693916961592997e-04
6.400000000000000133e-01,3.265116200362482338e-04,-2.749259110165414759e-04
6.410000000000000142e-01,3.265796907407663612e-04,-2.749886120134459886e-04
6.420000000000000151e-01,3.266472503797442865e-04,-2.750571725005942049e-04
6.430000000000000160e-01,3.267146432511301257e-04,-2.751310354292337305e-04
6.440000000000000169e-01,3.267821223376823729e-04,-2.752098810170378615e-04
6.450000000000000178e-01,3.268501753668037637e-04,-2.752934806256913404e-04
6.460000000000000187e-01,3.269192336185286073e-04,-2.753810454747308584e-04
6.470000000000000195e-01,3.269896195956243420e-04,-2.754724219980862906e-04
6.480000000000000204e-01,3.270622150330283100e-04,-2.755674021085055634e-04
6.490000000000000213e-01,3.271374295897872680e-04,-2.756655984332990876e-04
6.500000000000000222e-01,3.272157443126732937e-04,-2.757667870051352032e-04
6.510000000000000231e-01,3.272980358560815682e-04,-2.758707619814198013e-04
6.520000000000000240e-01,3.273850166013268369e-04,-2.759773904348624502e-04
6.530000000000000249e-01,3.274774695136834749e-04,-2.760867018348276531e-04
6.540000000000000258e-01,3.275758693646685046e-04,-2.761984740321171217e-04
6.550000000000000266e-01,3.276813022988796903e-04,-2.763129883050973400e-04
6.560000000000000275e-01,3.277945460253220292e-04,-2.764302739670663534e-04
6.570000000000000284e-01,3.279162150357068880e-04,-2.765504323510139585e-04
6.580000000000000293e-01,3.280475513866946426e-04,-2.766736713511012968e-04
6.590000000000000302e-01,3.281893103693772780e-04,-2.768004143790638917e-04
6.600000000000000311e-01,3.283423180499744540e-04,-2.769312451459876112e-04
6.610000000000000320e-01,3.285075778266963393e-04,-2.770662795592950044e-04
6.620000000000000329e-01,3.286860569783500610e-04,-2.772064216558073856e-04
6.630000000000000338e-01,3.288785778141226166e-04,-2.773522513054518953e-04
6.640000000000000346e-01,3.290860337893412521e-04,-2.775045081178319673e-04
6.650000000000000355e-01,3.293094614175367347e-04,-2.776642520235716115e-04
6.660000000000000364e-01,3.295497529331980471e-04,-2.778322192396690004e-04
6.670000000000000373e-01,3.298073898881877567e-04,-2.780095209100542008e-04
6.680000000000000382e-01,3.300836239341117372e-04,-2.781976939473000069e-04
6.690000000000000391e-01,3.303790264979522724e-04,-2.783976133681595379e-04
6.700000000000000400e-01,3.306943683483632335e-04,-2.786110280231149220e-04
6.710000000000000409e-01,3.310303667769113126e-04,-2.788391316681157733e-04
6.720000000000000417e-01,3.313874743609829926e-04,-2.790838140770683000e-04
6.730000000000000426e-01,3.317664666943809975e-04,-2.793468206001877138e-04
6.740000000000000435e-01,3.321676402229879256e-04,-2.796301115184527341e-04
6.750000000000000444e-01,3.325912223121011563e-04,-2.799354870341165774e-04
6.760000000000000453e-01,3.330378186272164734e-04,-2.802651576241054193e-04
